Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Sales,Price to Free Cash Flow,EVEBITDA,Interest Coverage Ratio,PEG Ratio,Working Capital to Sales ratio,QoQ Profits,QoQ Sales,Net worth,Market Cap to Sales,Interest Coverage,Enterprise Value to EBIT,Debt Capacity,Debt To Profit,Total Capital Employed,CROIC,debtplus,Leverage,Dividend Payout,Intrinsic Value,cash debt contingent liabilities by mcap,Cash by market cap,Down from 52w high,Up from 52w low,Mkt Cap To Debt Cap,Price to Cash Flow,ROCE3yr avg,PB X PE,NCAVPS,Market Capt to Cash Flow,Market cap to quarterly profit,Market Capitalization
Muthoot Finance,533398,MUTHOOTFIN,INE414G01012,Finance,Non Banking Financial Company (NBFC),3924.00,6.42,-10.86,14.51,2.09,2.18,20.91,22.16,12.91,32818.66,6.42,2.09,14.62,-0.90,23.04,5812.20,-12.99,3.78,3.90,19.57,2691.05,-73.49,0.05,5.43,99.76,-1.20,-5.94,12.86,102.65,127.80,-5.94,65.08,157536.30
Muthoot Microfin,544055,MUTHOOTMF,INE046W01019,Finance,Microfinance Institutions,191.40,1.42,-4.26,20.89,0.53,,73.68,104.59,4.59,2702.04,1.42,0.53,22.90,-2.92,-38.88,1898.31,-6.93,3.35,4.26,0.00,,-241.86,0.42,4.01,61.31,-0.33,2.36,10.56,,99.09,2.36,52.26,3263.29
My Money Sec.,538862,,INE232L01018,Capital Markets,Stockbroking & Allied,37.45,136.78,17.32,-12.68,-117.50,,2786.96,141.03,-17.65,26.14,136.78,-117.50,-12.44,0.36,0.01,14.49,15.17,0.00,1.04,0.00,,11.09,0.09,31.79,94.55,3.44,4.69,19.07,,7.63,4.69,196.63,62.92
My Mudra Fin.,,MYMUDRA,INE0RVQ01016,Finance,Other Financial Services,80.00,0.87,-34.07,4.91,16.94,0.05,31.02,-12.54,25.35,58.79,0.87,16.94,5.28,,1.33,48.02,-6.45,0.22,0.86,0.00,386.11,4.81,0.10,32.83,55.04,,42.03,46.46,12.28,28.60,42.00,16.97,91.14
Mysore Petro,506734,,INE741A01011,Chemicals & Petrochemicals,Trading - Chemicals,101.59,2.56,-13.83,8.00,80.88,-0.15,97.17,125.00,-30.72,219.05,2.56,80.88,8.45,3.29,0.06,39.74,-2.09,0.11,1.31,43.36,,-26.99,0.09,36.47,5.33,-0.80,-9.10,8.34,2.43,38.45,-9.07,668.70,66.87
Mystic Electron.,535205,,INE159O01033,Commercial Services & Supplies,Trading & Distributors,3.45,,7.53,6.57,,0.10,,-83.33,,28.60,,,6.57,2.92,0.00,9.39,3.16,0.00,1.00,0.00,7.06,16.28,0.08,38.17,32.69,-3.79,6.97,5.66,1.92,4.74,6.96,682.00,6.82
N D Metal Inds.,512024,,INE643D01013,Non - Ferrous Metals,Copper,94.81,470.20,22.15,68.54,,,8100.00,-140.00,,3.03,470.20,,126.26,0.22,1.92,5.34,27.30,0.16,4.20,0.00,,2.34,0.02,3.11,10.24,1.23,23.01,5.09,,16.20,22.83,-1175.50,23.51
N G Industries,530897,,INE825C01018,Healthcare Services,Healthcare Service Provider,138.00,2.80,65.78,-66.01,-18.57,,1.45,-2.33,5.93,39.16,2.80,-18.57,-34.53,0.80,0.14,5.62,1.84,0.03,1.06,0.00,,2.68,0.05,26.16,14.95,5.18,25.92,12.25,,0.71,25.55,110.10,46.24
N K Industries,519494,NKIND,INE542C01019,Agricultural Food & other Products,Edible Oil,60.04,2.44,-21.53,-9.36,-152.00,,202.50,60.10,-24.02,-351.02,2.44,-152.00,-5.68,0.03,-0.22,233.83,0.48,-0.45,-5.44,0.00,,-434.01,0.02,32.46,13.28,10.16,-11.93,0.00,,49.95,-11.95,-44.54,36.08
N R Agarwal Inds,516082,NRAIL,INE740D01017,"Paper, Forest & Jute Products",Paper & Paper Products,450.00,0.41,-7.73,9.82,1.31,-0.94,5.21,-108.88,16.04,786.38,0.41,1.31,17.61,-0.31,41.27,1326.75,-7.18,0.99,2.15,38.57,386.19,-101.39,0.01,18.18,118.71,0.47,4.34,13.76,30.91,56.99,4.35,420.80,765.86
