Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Price to Sales,Price to Free Cash Flow,EVEBITDA,Interest Coverage Ratio,PEG Ratio,Working Capital to Sales ratio,QoQ Profits,QoQ Sales,Net worth,Market Cap to Sales,Interest Coverage,Enterprise Value to EBIT,Debt Capacity,Debt To Profit,Total Capital Employed,CROIC,debtplus,Leverage,Dividend Payout,Intrinsic Value,cash debt contingent liabilities by mcap,Cash by market cap,Down from 52w high,Up from 52w low,Mkt Cap To Debt Cap,Price to Cash Flow,ROCE3yr avg,PB X PE,NCAVPS,Market Capt to Cash Flow,Market cap to quarterly profit,Market Capitalization
GIC Housing Fin,511676,GICHSGFIN,INE289B01019,Finance,Housing Finance Company,163.30,0.81,1.72,11.21,1.24,-15.25,11.20,-12.69,0.40,1997.56,0.81,1.24,11.37,-7.48,56.33,161.10,4.85,4.52,5.41,15.14,277.50,-1020.26,0.06,20.73,8.15,0.10,-49.45,8.67,2.68,22.47,-49.40,20.16,879.38
Gilada Finance,538788,,INE918C01029,Finance,Non Banking Financial Company (NBFC),13.70,2.79,-8.45,6.65,3.18,0.52,460.58,5.56,3.59,25.11,2.79,3.18,6.76,-0.66,4.53,35.90,-6.68,0.39,1.45,0.00,24.98,-49.38,0.03,42.44,47.31,-1.34,6.41,12.13,6.78,22.70,6.44,33.79,19.26
Gillanders Arbut,532716,GILLANDERS,INE047B01011,Agricultural Food & other Products,Tea & Coffee,90.00,0.45,7.30,9.47,1.97,28.88,-0.44,-68.16,-19.24,255.16,0.45,1.97,13.55,-0.03,5.50,267.74,7.18,0.64,2.02,0.00,83.02,-84.37,0.01,40.75,5.88,0.34,24.90,0.98,9.32,-0.89,24.95,42.31,192.09
Gillette India,507815,GILLETTE,INE322A01010,Personal Products,Personal Care,8730.00,9.25,84.24,30.08,70.29,4.35,21.76,20.06,-2.57,1162.57,9.25,70.29,33.09,0.06,0.00,1022.16,33.58,2.02,1.87,87.39,2488.06,-6.78,0.02,24.12,17.79,5.93,86.81,53.08,1122.93,205.28,86.78,164.97,28451.10
Gini Silk Mills,531744,,INE548B01018,Commercial Services & Supplies,Trading & Distributors,63.00,0.88,33.60,10.06,5.65,0.09,23.08,614.29,17.61,50.98,0.88,5.65,16.06,0.81,2.13,20.47,1.90,0.11,1.27,0.00,48.72,-16.29,0.00,51.49,14.34,12.70,19.38,4.64,13.36,16.59,19.36,35.23,35.23
Ginni Filaments,590025,GINNIFILA,INE424C01010,Textiles & Apparels,Other Textile Products,39.10,0.87,3.13,5.64,7.44,-0.16,23.63,-3.30,-6.41,220.28,0.87,7.44,6.92,0.53,9.89,205.42,39.17,0.20,1.73,0.00,26.48,-11.06,0.04,32.35,106.44,0.47,32.34,3.85,13.27,10.64,32.33,33.39,334.91
Giriraj Civil,,GIRIRAJ,INE614Z01017,Construction,Civil Construction,142.65,0.96,-14.23,9.91,8.06,0.22,21.23,-55.85,-39.97,137.74,0.96,8.06,10.37,-0.05,0.57,87.31,-17.62,0.07,1.77,0.00,242.02,-0.71,0.02,65.12,47.37,-4.02,-52.37,15.30,39.21,31.70,-52.42,51.62,341.23
Gita Renewable,539013,,INE776O01018,Power,Power Generation,78.61,,6.72,-146.91,-22.00,,,33.33,,12.95,,-22.00,-146.91,-0.45,0.00,-0.30,36.01,0.00,1.06,0.00,,0.40,0.00,45.03,8.19,-0.39,-3223.01,2.26,,-0.73,-3233.00,-538.83,32.33
GK Energy,544525,GKENERGY,INE1AG301022,Construction,Civil Construction,114.55,2.12,-53.95,11.36,9.07,0.05,66.56,25.77,21.41,779.33,2.12,9.07,11.44,,3.10,814.06,-15.79,0.60,1.91,0.00,462.56,-17.50,0.02,52.19,19.31,,-23.56,56.89,47.17,35.93,-23.57,50.01,2323.29
GKB Ophthalmics,533212,,INE265D01015,Healthcare Equipment & Supplies,Medical Equipment & Supplies,56.00,0.24,-16.37,20.64,-0.65,,32.31,387.50,-6.62,52.56,0.24,-0.65,-16.77,0.26,-2.07,58.85,-2.33,0.62,2.30,0.00,,-66.35,0.56,38.93,23.76,1.13,-8.16,-1.66,,77.10,-8.23,17.64,28.23
GKW,,GKWLIMITED,INE528A01020,Finance,Investment Company,1700.60,29.85,-15.41,-77.44,-2.07,,833.99,-212.89,-25.34,2599.00,29.85,-2.07,-55.96,0.42,-0.02,2914.09,-2.69,0.00,1.19,0.00,,20.70,0.14,24.82,24.04,-2.19,-5.03,0.35,,472.73,-5.00,-65.12,1015.26
Glance Finance,531199,,INE580D01017,Finance,Non Banking Financial Company (NBFC),181.60,2.06,9.61,4.71,9.08,12.92,7.15,971.43,-52.59,53.65,2.06,9.08,12.22,1.33,0.77,14.44,9.49,0.03,1.12,0.00,136.52,-4.00,0.02,27.92,51.21,0.48,3.52,7.49,30.23,6.17,3.45,54.63,40.97
Gland Pharma,543245,GLAND,INE068V01023,Pharmaceuticals & Biotechnology,Pharmaceuticals,1866.30,5.03,73.16,16.55,42.42,-2.12,87.34,42.36,14.02,9562.61,5.03,42.42,21.77,0.15,0.43,9950.76,4.53,0.03,1.19,42.47,1678.86,7.26,0.07,12.42,55.53,3.35,33.62,13.41,114.79,323.98,33.61,110.41,30748.52
Glaxosmi. Pharma,500660,GLAXO,INE159A01016,Pharmaceuticals & Biotechnology,Pharmaceuticals,2704.10,12.05,59.82,31.28,508.73,-2.32,34.14,14.81,6.26,1707.70,12.05,508.73,32.83,0.11,0.04,1605.33,40.76,0.29,1.96,98.62,564.77,1.97,0.03,23.09,37.40,4.89,35.51,50.33,1221.76,76.60,35.51,162.25,45809.09
Gleam Fabmat,542477,,INE03CM01014,Commercial Services & Supplies,Trading & Distributors,13.55,0.67,-225.83,377.40,,15.34,63.82,300.00,-35.89,9.91,0.67,,629.00,-0.40,539.00,12.86,-0.39,0.61,2.60,0.00,1.26,-44.29,0.00,0.00,78.76,-60.31,-104.23,0.15,929.61,12.84,-104.38,339.25,13.57
GLEN Industries,544444,,INE0UMC01019,Industrial Products,Packaging,80.35,1.06,-18.80,6.05,3.34,0.15,34.98,-14.51,10.45,123.21,1.06,3.34,7.45,,6.33,178.50,-6.32,0.86,3.21,0.00,175.57,-60.63,0.01,51.26,14.51,,33.56,15.19,15.12,26.43,33.51,23.27,193.34
Glenmark Pharma.,532296,GLENMARK,INE935A01035,Pharmaceuticals & Biotechnology,Pharmaceuticals,2011.55,3.45,-63.98,11.88,17.62,3.35,27.29,-33.94,-35.49,9581.84,3.45,17.62,13.48,0.03,1.17,10398.90,-8.70,0.21,1.71,6.74,452.22,-0.56,0.03,12.01,57.81,12.81,-68.59,15.31,125.34,159.24,-68.59,105.10,56766.14
Glittek Granites,513528,,INE741B01027,Other Construction Materials,Other Construction Materials,44.71,139.83,9.53,4.64,23.34,,644.58,-900.00,-100.00,11.33,139.83,23.34,4.65,0.13,0.10,5.43,66.36,0.06,1.74,0.00,17.28,7.75,0.04,0.00,1246.69,13.53,1453.08,-42.72,53.61,2.06,1450.75,-290.15,116.06
Global Cap.Mkt.,530263,,INE062C01042,Finance,Non Banking Financial Company (NBFC),0.55,7.30,-10.72,16.54,122.00,,153.00,25.00,-42.31,46.42,7.30,122.00,17.08,-0.70,-0.07,4.88,-4.48,0.00,1.19,0.00,1.62,1.96,0.09,44.44,10.00,-0.28,-6.68,-0.62,8.66,0.12,-6.68,48.67,21.90
Global Education,,GLOBAL,INE291W01037,Other Consumer Services,Education,94.65,6.89,25.28,15.33,,0.74,55.79,50.00,71.70,112.16,6.89,,17.53,0.25,0.00,51.51,20.12,0.01,0.98,30.29,97.50,0.71,0.01,3.81,130.85,2.07,22.80,48.26,104.53,7.66,22.80,73.33,481.79
Global Health,543654,MEDANTA,INE474Q01031,Healthcare Services,Hospital,1148.10,7.38,108.35,30.45,11.85,1.42,24.10,-40.01,1.99,3707.66,7.38,11.85,38.27,0.05,1.96,4524.82,7.29,0.29,1.34,0.00,394.68,0.16,0.04,21.17,13.67,5.07,49.48,18.80,453.52,37.50,49.47,248.75,30859.85
Global Longlife,543520,,INE0J2K01014,Healthcare Services,Hospital,12.21,,-2.55,5.13,,,,-26.92,,25.47,,,5.13,0.86,0.00,21.65,-15.38,0.00,1.28,0.00,,167.63,0.85,63.02,0.00,-0.30,1.04,-3.28,,20.62,1.04,-9.71,12.82
Global Ocean,544665,,INE1ITY01011,Transport Services,Logistics Solution Provider,126.40,0.96,-827.35,19.17,22.19,0.33,10.73,,,21.93,0.96,22.19,19.46,,0.61,21.16,-1.41,,1.69,0.00,,-1.03,0.01,26.90,59.60,,-103.42,50.29,,14.20,-103.73,40.21,182.56
Global Offshore,501848,,INE446C01013,Transport Services,Shipping,56.41,6.17,3.16,72.30,-4.82,,-5.02,109.47,58.59,132.81,6.17,-4.82,-21.88,0.14,17.07,177.19,38.74,0.49,1.20,0.00,29.27,-12.54,0.14,47.48,29.86,0.99,18.40,-9.13,,-0.46,18.43,-84.17,173.40
Global Pet Indus,,GLOBALPET,INE0PS501019,Industrial Manufacturing,Industrial Products,118.00,2.82,-17.82,26.83,,0.66,67.73,-101.33,-17.69,50.47,2.82,,27.97,0.00,0.00,50.57,-17.32,0.00,0.95,0.00,113.48,2.71,0.04,26.11,12.11,-9.56,103.25,19.13,86.08,34.12,124.19,-2781.80,139.09
Global Surfaces,543829,GSLSU,INE0JSX01015,Consumer Durables,Granites & Marbles,90.35,1.56,-4.37,33.07,-0.06,,33.01,26.75,9.60,296.41,1.56,-0.06,-589.85,-0.50,-7.32,370.34,-17.90,0.73,1.78,0.00,,-54.62,0.02,37.69,14.37,8.11,-12.27,4.53,,19.10,-12.26,-127.22,382.93
Global Vectra,532773,GLOBALVECT,INE792H01019,Transport Services,Airline,190.00,0.51,3.54,9.11,0.87,,-51.78,34.68,-9.07,4.51,0.51,0.87,31.81,-1.63,-977.52,337.74,13.82,166.22,40.42,0.00,,-277.40,0.05,33.11,18.01,0.35,2.72,3.99,,-193.99,2.72,-43.18,266.01
Globale Tessile,544234,GLOBALE,INE0URU01010,Textiles & Apparels,Trading - Textile Products,12.28,0.25,-3.03,-46.32,-0.26,,18.55,27.78,164.42,10.37,0.25,-0.26,-46.32,-1.05,-14.44,9.81,-20.27,1.07,2.75,0.00,,-34.87,0.52,51.25,17.74,-0.35,-18.33,1.22,,9.25,-18.38,-50.19,13.05
Globalspace Tech,540654,,INE632W01016,IT - Software,Computers - Software & Consulting,18.68,1.60,,17.01,2.04,9.28,46.68,-175.00,14.01,54.26,1.60,2.04,35.53,,-4.32,46.49,,0.83,1.28,0.00,4.73,-69.76,0.00,8.43,36.65,,8.14,2.13,135.29,5.46,8.14,-535.08,64.21
Globe Civil,544424,GLOBECIVIL,INE0V3U01015,Construction,Civil Construction,54.00,0.85,-26.95,7.39,2.68,0.21,51.47,18.42,39.21,224.86,0.85,2.68,7.93,,5.92,224.15,-5.24,0.84,3.22,0.00,105.86,-56.45,0.05,43.16,15.88,,-29.93,20.28,19.13,32.64,-29.94,53.93,322.50
Globe Commercial,540266,,INE804Q01013,Commercial Services & Supplies,Trading & Distributors,18.95,0.02,,0.38,,,9.48,33.40,3.47,708.37,0.02,,0.39,,0.12,718.07,,,0.63,0.00,2525.09,,0.03,53.77,22.97,,-0.48,10.07,0.01,118.22,-0.49,1.69,11.39
Globe Enterprises,,GLOBE,INE581X01021,Textiles & Apparels,Other Textile Products,2.75,0.21,,8.14,1.69,,14.06,-54.71,1.85,151.87,0.21,1.69,9.49,,17.21,156.36,,1.11,2.39,0.00,4.91,-134.61,0.01,28.01,36.14,,-7.08,10.45,12.64,1.86,-7.08,61.32,123.86
Globe Intl. Car.,,GICL,INE947T01022,Transport Services,Logistics Solution Provider,44.00,3.09,-637.24,42.15,3.47,1.44,42.04,-8.38,-15.58,91.69,3.09,3.47,43.42,-0.12,11.90,119.42,-0.97,0.65,1.51,0.00,7.15,-11.99,0.00,14.56,113.80,-152.74,49.58,10.07,382.52,5.98,49.56,141.96,492.60
Globesecure Tech,,GSTL,INE00WS01056,IT - Services,IT Enabled Services,22.45,2.51,-3.54,-15.72,-4.96,,212.48,71.38,23.51,44.72,2.51,-4.96,-12.14,-0.67,-2.29,33.66,-24.17,0.15,1.05,0.00,,-17.77,0.01,19.24,277.31,-0.50,-1.48,5.53,,19.06,-1.49,-40.21,35.79
Globtier Infotec,544494,,INE12P601017,IT - Services,IT Enabled Services,26.80,0.42,56.73,2.67,5.18,0.10,39.11,12.59,-20.18,44.85,0.42,5.18,3.69,,0.38,47.38,2.39,0.04,2.41,0.00,78.36,3.28,0.07,53.47,7.16,,5.76,31.33,5.59,24.74,5.76,12.74,40.52
Globus Power,526025,,INE064L01015,Power,Power Generation,13.00,,41.08,-273.64,,,,0.00,,8.06,,,-273.64,0.02,0.00,-0.06,46.58,0.18,1.09,0.00,1.57,-1.10,0.00,29.54,12.85,16.18,35.61,-13.96,,-0.01,35.63,-1071.92,128.63
Globus Spirits,533104,GLOBUSSPR,INE615I01010,Beverages,Breweries & Distilleries,981.95,1.04,-32.92,13.16,2.86,-0.73,-1.91,34.56,8.44,1035.86,1.04,2.86,20.48,0.02,18.71,1202.40,-6.13,0.60,1.94,31.93,734.35,-19.56,0.03,24.69,22.74,1.62,40.95,11.29,98.67,-18.01,40.91,90.54,2844.92
Gloster Ltd,542351,GLOSTERLTD,INE350Z01018,"Paper, Forest & Jute Products",Jute & Jute Products,604.75,0.50,-3.82,9.92,1.34,,14.84,-109.65,6.24,1081.49,0.50,1.34,16.60,-0.76,-56.43,1450.89,-11.63,0.70,1.61,-163.90,234.48,-110.31,0.04,28.01,13.76,1.52,-6.66,3.82,53.92,180.66,-6.68,-894.31,661.79
Glottis,544557,GLOTTIS,INE0TQE01026,Transport Services,Logistics Solution Provider,53.69,0.53,74.64,5.76,28.05,,19.59,3.52,27.68,197.18,0.53,28.05,5.87,,0.89,200.72,7.61,,1.21,0.00,,-7.16,0.02,42.27,10.31,,455.13,90.36,,19.95,455.17,40.14,496.14
GMM Pfaudler,505255,GMMPFAUDLR,INE541A01023,Industrial Manufacturing,Industrial Products,975.25,1.29,18.79,11.47,2.14,-4.89,27.60,-122.57,-2.09,1175.76,1.29,2.14,17.41,0.04,21.94,2375.32,12.44,0.92,3.06,16.97,279.97,-14.10,0.09,31.22,3.36,1.41,11.61,17.91,145.64,207.70,11.60,102.85,4384.45
GMR Airports,532754,GMRAIRPORT,INE776C01039,Transport Infrastructure,Airport & Airport services,96.75,8.24,-105.44,27.58,0.87,,-15.25,125.57,14.50,-2733.54,8.24,0.87,43.45,-0.27,-50.76,31270.31,-2.71,-15.64,-19.38,0.00,,-40.95,0.02,12.33,42.80,3.20,29.68,5.92,,-1.79,29.68,-2085.29,102158.13
GMR Urban,543490,GMRP&UI,INE0CU601026,Power,Power Generation,105.20,1.16,4.33,9.56,0.81,,30.33,-117.91,3.24,1408.32,1.16,0.81,14.09,-0.66,7.47,10649.30,17.36,9.39,31.05,0.00,133.26,-163.85,0.10,25.40,17.73,0.43,2.90,14.78,,27.44,2.90,-62.57,8216.28
GNA Axles,540124,GNA,INE934S01014,Auto Components,Auto Components & Equipments,452.30,1.34,261.39,8.91,12.60,2.75,38.43,2.47,7.87,941.84,1.34,12.60,12.38,0.03,1.90,1007.02,0.68,0.22,1.44,12.02,308.65,-8.91,0.02,3.91,67.64,2.10,21.07,16.95,35.98,129.45,21.09,60.76,1941.78
GNG Electronics,544455,EBGNG,INE18JU01028,IT - Hardware,Computers Hardware & Equipments,333.95,2.25,128.85,23.12,4.14,0.72,37.74,18.46,10.75,668.45,2.25,4.14,24.56,-0.03,3.14,677.15,5.02,0.34,2.88,0.00,286.80,-4.34,0.02,16.87,39.73,16.23,155.20,20.96,207.42,56.13,155.21,98.41,3807.41
Go Digit General,544179,GODIGIT,INE03JT01014,Insurance,General Insurance,318.10,2.97,15.98,51.16,,1.14,0.00,20.24,3.31,924.29,2.97,,51.16,0.21,0.00,0.00,47.59,,4.45,0.00,,0.81,0.01,16.60,20.22,1.22,18.33,5.81,,0.00,18.33,209.91,29406.56
Go Fashion (I),543401,GOCOLORS,INE0BJS01011,Retailing,Speciality Retail,362.50,2.31,14.56,8.40,2.93,0.71,52.15,-67.11,-13.06,741.43,2.31,2.93,16.12,0.05,5.72,1042.54,11.81,0.72,1.75,0.00,252.29,-15.18,0.11,61.59,0.88,1.22,9.85,16.15,73.67,81.78,9.85,273.06,1957.84
Goa Carbon,509567,GOACARBON,INE426D01013,Minerals & Mining,Industrial Minerals,395.90,0.58,52.94,-18.78,-1.45,,21.16,-9.15,88.91,188.13,0.58,-1.45,-16.96,-0.73,-17.73,164.68,1.27,2.50,2.63,0.00,,-93.22,0.51,26.56,13.10,-5.09,-6.75,17.66,,144.33,-6.72,-15.50,362.25
Goblin India,542850,,INE492Z01018,Consumer Durables,"Gems, Jewellery And Watches",9.29,0.23,5.13,6.06,1.97,0.40,88.97,292.50,-17.95,45.31,0.23,1.97,7.16,-0.92,5.44,52.54,4.22,0.29,1.78,0.00,24.38,-95.25,0.04,69.49,16.13,7.78,1.56,7.35,5.03,35.64,1.57,8.34,12.84
GOCL Corpn.,506480,GOCLCORP,INE077F01035,Chemicals & Petrochemicals,Explosives,264.35,9.07,9.65,6.48,2.46,0.48,1795.49,-98.85,-34.51,2797.29,9.07,2.46,6.60,-0.08,1.06,2714.01,5.13,0.08,1.90,31.52,1109.63,-12.88,0.03,36.68,8.34,-6.95,83.67,6.58,5.60,523.19,83.63,57.08,1310.45
Godavari Bioref.,544279,GODAVARIB,INE497S01012,Diversified FMCG,Diversified FMCG,295.00,0.76,101.55,12.02,1.87,,5.21,-159.61,-19.22,725.06,0.76,1.87,17.66,-0.07,-21.04,1044.96,1.23,1.08,2.52,0.00,97.23,-49.80,0.02,16.19,103.45,1.07,245.59,7.41,68.97,20.26,245.48,-100.18,1509.71
Godavari Drugs,530317,,INE362C01012,Pharmaceuticals & Biotechnology,Pharmaceuticals,90.00,0.64,302.24,12.18,2.16,-3.01,3.77,-3.85,11.93,45.39,0.64,2.16,15.59,-0.55,16.88,76.28,0.22,1.65,3.20,0.00,66.47,-106.33,0.04,21.74,29.12,0.49,6.03,12.88,27.30,5.31,6.05,67.77,67.77
Godawari Power,532734,GPIL,INE177H01039,Industrial Products,Iron & Steel Products,257.55,3.30,34.56,13.68,19.59,-1.41,28.89,-11.26,-12.86,5231.18,3.30,19.59,15.88,0.24,0.24,4903.25,10.15,0.09,1.19,16.99,187.61,1.35,0.05,11.19,76.95,1.33,19.30,26.64,77.69,22.55,19.30,120.67,17285.95
Godfrey Phillips,500163,GODFRYPHLP,INE260B01028,Cigarettes & Tobacco Products,Cigarettes & Tobacco Products,2133.80,5.39,114.09,18.68,133.79,0.71,38.70,12.56,41.86,5826.64,5.39,133.79,20.14,0.14,0.16,3199.16,5.83,0.07,1.22,46.08,1232.73,-1.07,0.00,45.94,32.38,6.93,310.37,23.68,146.69,153.24,310.33,96.95,33283.37
Godrej Agrovet,540743,GODREJAGRO,INE850D01014,Food Products,Animal Feed,588.60,1.13,20.54,13.95,5.32,19.65,-9.26,30.10,5.88,1810.35,1.13,5.32,18.25,-0.05,5.35,2088.49,13.22,1.22,2.35,49.22,175.60,-19.11,0.00,32.84,16.30,1.89,11.68,13.31,153.75,-48.34,11.68,82.46,11320.48
Godrej Consumer,532424,GODREJCP,INE102D01028,Personal Products,Personal Care,1210.00,8.15,59.18,37.93,9.31,39.84,-0.36,8.40,7.16,12163.67,8.15,9.31,41.18,0.04,2.22,11599.52,13.15,0.38,1.57,138.07,250.31,-3.39,0.00,7.56,23.53,4.82,48.05,18.31,647.60,-0.53,48.05,220.06,123812.63
Godrej Industrie,500164,GODREJIND,INE233A01035,Diversified,Diversified,1016.50,1.70,-6.21,13.57,2.28,3.72,43.95,-32.04,12.83,10399.88,1.70,2.28,14.80,-1.09,25.06,16478.25,-10.64,4.68,7.34,0.00,493.79,-122.39,0.15,26.95,32.97,-0.84,-6.65,7.08,115.83,262.24,-6.65,141.20,34236.21
Godrej Propert.,533150,GODREJPROP,INE484J01027,Realty,"Residential, Commercial Projects",1848.20,14.67,-23.87,26.66,18.29,0.63,438.54,-51.89,-32.69,18311.06,14.67,18.29,27.78,-0.15,11.75,18238.43,-9.11,0.97,2.63,0.00,1290.80,-22.10,0.07,26.26,25.30,-3.22,-24.83,6.00,105.32,552.54,-24.83,263.58,55668.95
Goel Construct.,544504,,INE0ZOM01013,Construction,Civil Construction,306.35,0.79,26.61,5.10,8.83,0.22,19.53,-22.23,-22.79,221.61,0.79,8.83,5.80,,0.61,202.99,11.67,0.34,1.84,0.00,1071.72,-4.75,0.11,19.80,19.67,,11.48,30.26,22.75,76.40,11.52,26.41,442.66
Goel Food,543538,,INE0K6L01010,Leisure Services,Hotels & Resorts,13.15,0.98,8.10,5.40,4.17,0.17,47.22,-90.35,-47.24,27.50,0.98,4.17,5.97,-0.99,6.24,27.80,5.83,1.15,2.22,0.00,27.96,-112.51,0.15,35.57,5.12,1.83,3.23,18.24,4.46,6.30,3.22,56.34,24.79
Goenka Business,538787,,INE997C01015,Finance,Non Banking Financial Company (NBFC),10.32,0.10,174.99,0.58,1.05,,-97.04,235.53,161.03,29.53,0.10,1.05,0.58,0.67,0.00,-131.54,0.24,0.00,6.26,0.00,20.53,6.86,0.12,23.27,70.30,-0.77,-10.24,44.84,14.31,-101.22,-10.24,5.02,13.41
Gogia Capital,531600,,INE832C01014,Capital Markets,Stockbroking & Allied,80.00,25.67,-5.17,-22.25,,,-812.69,-500.00,38.10,28.41,-25.67,,-19.95,-0.26,0.00,18.89,-35.48,0.00,1.03,0.00,,9.91,0.14,25.89,22.21,-0.58,-49.41,-20.58,,25.41,-49.58,-210.71,50.57
Gokak Textiles,532957,,INE642I01014,Textiles & Apparels,Other Textile Products,71.05,0.58,3.39,37.31,-0.33,,-63.74,-11.67,15.06,-74.97,0.58,-0.33,-30.54,-5.75,-6.83,176.20,5.99,-5.26,-5.30,0.00,,-847.94,0.12,37.12,35.10,0.49,1.08,-1.23,,-77.78,1.08,-3.34,46.18
Gokaldas Exports,532630,GOKEX,INE887G01027,Textiles & Apparels,Garments & Apparels,748.00,1.39,-21.80,14.56,3.00,7.23,20.81,80.82,-0.58,2155.80,1.39,3.00,23.68,0.02,6.26,2429.64,-10.00,0.79,1.51,4.51,546.76,-28.23,0.03,29.43,40.87,4.52,95.72,14.27,117.84,111.86,95.77,374.97,5478.28
Gokul Agro,539725,GOKULAGRO,INE314T01033,Agricultural Food & other Products,Edible Oil,171.85,0.22,196.11,7.99,3.30,0.65,2.37,-23.18,-4.88,1214.27,0.22,3.30,8.75,0.09,2.39,1500.55,1.74,0.50,3.52,0.00,250.71,-4.26,0.08,22.42,79.01,1.96,10.85,27.99,70.85,18.78,10.85,65.26,5071.09
Gokul Refoils,532980,GOKUL,INE020J01029,Agricultural Food & other Products,Edible Oil,33.90,0.09,8.85,8.21,1.56,-1.17,4.99,-8.81,14.70,351.86,0.09,1.56,10.03,-0.43,22.88,305.22,6.13,1.04,2.19,0.00,34.07,-91.62,0.20,38.13,0.44,1.36,19.66,8.09,22.08,19.44,19.66,95.34,335.60
Golden Carpets,531928,,INE595D01015,Consumer Durables,"Furniture, Home Furnishing",10.93,6.89,304.48,-230.40,,,281.55,-833.33,-96.15,-0.10,6.89,,-54.86,-0.56,-51.78,4.52,0.51,-47.79,-37.36,0.00,,-61.13,0.05,20.74,27.39,4.58,,-2.85,,4.46,,-32.27,7.10
Golden Crest,540062,,INE222U01010,Other Consumer Services,Education,262.15,416.67,2405.61,981.07,,16.72,678.79,0.00,0.00,10.89,416.67,,981.07,0.03,0.00,2.27,0.53,0.00,0.99,0.00,12.89,0.15,0.00,64.56,6.57,687.50,524.30,1.28,12404.43,4.31,528.85,2750.00,137.50
Golden Legand Ls,509024,,INE088E01019,Finance,Non Banking Financial Company (NBFC),12.52,0.16,-12.95,-0.97,3.11,,-31.54,70.47,113.35,24.77,0.16,3.11,-1.12,0.29,-0.20,-25.74,-7.81,0.02,2.95,0.00,30.04,8.22,0.06,23.57,73.89,1.17,10.91,-7.42,1.34,-24.56,10.89,2.22,18.62
Golden Tobacco,500151,GOLDENTOBC,INE973A01010,Realty,"Residential, Commercial Projects",29.29,1.58,3.30,5.05,2.27,0.21,-1028.23,-190.12,91.92,-205.26,1.58,2.27,5.32,1.36,0.31,-328.44,-7.55,-1.40,-0.79,0.00,,-550.58,0.06,31.88,7.53,0.19,-343.67,0.00,,-190.81,-343.87,-33.28,51.58
Goldiam Intl.,526729,GOLDIAM,INE025B01025,Consumer Durables,"Gems, Jewellery And Watches",395.25,4.74,96.21,18.53,340.44,7.47,103.18,118.08,65.82,1021.66,4.74,340.44,19.12,0.10,0.21,1033.79,6.57,0.09,1.10,27.38,264.90,1.91,0.04,12.17,57.25,8.99,-346.46,21.77,125.62,85.98,-346.52,65.26,4463.14
Goldkart Jewels,,GOLDKART,INE06MH01016,Consumer Durables,"Gems, Jewellery And Watches",254.50,4.53,147.60,57.58,4.50,0.42,30.08,93.92,-2.90,70.04,4.53,4.50,58.19,0.07,4.92,29.49,5.08,0.23,1.15,0.00,52.20,-3.68,0.00,10.70,27.22,19.37,127.63,7.81,599.02,16.89,127.52,148.85,427.19
Goldstar Power,,GOLDSTAR,INE405Y01021,Auto Components,Auto Components & Equipments,5.25,3.11,,24.05,3.23,,91.69,1387.14,112.73,82.86,3.11,3.23,31.60,,5.71,78.49,,,,0.00,,,,61.11,16.67,,,0.00,19.82,1.55,,14.43,150.26
Golech.Glob.Fin.,531360,,INE427D01011,Commercial Services & Supplies,Diversified Commercial Services,20.50,0.42,46.98,-10.79,,,11.60,-129.58,-68.57,8.59,0.42,,-10.79,0.06,0.00,3.13,2.87,0.00,1.04,0.00,,1.68,0.01,46.34,7.89,6.02,86.73,-4.09,,5.69,86.77,-53.71,11.28
Golkonda Alumin.,513309,,INE327C01031,Non - Ferrous Metals,Aluminium,8.77,19.21,-9.49,27828.67,,1.76,12.50,-40.00,-47.37,3.66,19.21,,27828.67,-430.97,41666.67,0.82,-0.04,295.92,153.81,0.00,4.67,-54229.28,0.01,37.13,28.40,-1.25,154.94,-2.65,28.78,0.06,153.67,153.67,4.61
Golkunda Diamond,523676,,INE798D01015,Consumer Durables,"Gems, Jewellery And Watches",227.70,0.58,29.16,8.77,5.94,0.77,22.08,11.32,-22.66,69.91,0.58,5.94,9.27,-0.06,3.05,69.91,5.61,0.51,1.85,8.83,226.78,-15.50,0.07,10.60,45.96,2.96,18.82,18.70,29.49,86.67,18.71,44.77,158.49
Goodluck India,530655,GOODLUCK,INE127I01024,Industrial Products,Iron & Steel Products,1118.15,0.92,-19.06,12.61,3.31,0.74,11.71,6.20,0.82,1402.74,0.92,3.31,14.76,-0.21,6.09,1631.85,-9.76,0.93,1.74,7.91,940.76,-33.72,0.03,17.35,96.94,4.99,23.46,16.32,59.66,141.81,23.48,87.72,3716.55
Goodricke Group,500166,,INE300A01016,Agricultural Food & other Products,Tea & Coffee,163.35,0.43,-548.45,23.61,0.13,10.87,12.92,-81.53,41.47,321.12,0.43,0.13,484.59,-0.11,5.96,418.43,-0.18,0.43,2.38,0.00,116.12,-36.58,0.04,31.94,8.94,1.25,8.23,-3.38,132.16,49.60,8.23,43.89,352.85
Goodyear India,500168,GOODYEAR,INE533A01012,Auto Components,Tyres & Rubber Products,857.00,0.80,31.53,13.80,16.09,-1.86,8.05,88.45,1.75,574.77,0.80,16.09,22.37,0.32,0.50,584.22,10.29,0.34,2.01,100.03,348.19,-0.22,0.08,19.98,12.17,1.04,15.09,20.04,119.60,85.81,15.07,80.27,1977.09
