Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Return over 3months,Return over 6months,Is SME,Is not SME,Volume 1month average,Volume 1week average,Volume,Low price,High price,High price all time,Low price all time,Return over 1day,Return over 1week,Return over 1month,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,RSI,MACD,MACD Previous Day,MACD Signal,MACD Signal Previous Day,Return over 1year,Return over 3years,Return over 5years,Volume 1year average,Return over 7years,Return over 10years,Market Capitalization
Kirloskar Oil,533293,KIRLOSENG,INE146L01010,Industrial Products,"Compressors, Pumps & Diesel Engines",1264.70,16.57,40.13,0,1,208776,202510,324630,544.15,1329.10,1450.00,70.05,3.79,2.88,12.33,1155.30,1029.72,1150.83,1027.36,62.48,13.01,6.21,-0.42,-3.77,61.89,58.90,53.61,636790,33.97,19.49,18381.23
Kisaan Parivar,519230,,INE102C01020,Commercial Services & Supplies,Trading & Distributors,18.29,-25.92,-14.49,0,1,4875,1856,1291,17.54,51.25,92.79,1.42,1.44,2.35,-17.80,20.58,26.42,20.67,26.50,40.35,-0.90,-0.95,-0.97,-0.98,-63.26,59.59,33.27,6903,25.89,15.91,16.10
Kisan Mouldings,530145,,INE017C01012,Industrial Products,Plastic Products - Industrial,28.88,3.70,-21.82,0,1,76209,64910,67450,22.70,54.40,235.50,6.00,3.62,10.14,13.25,27.35,34.27,27.29,34.32,63.01,0.11,-0.09,-0.31,-0.41,-34.08,44.31,13.88,91361,-9.47,4.70,345.01
Kitex Garments,521248,KITEX,INE602G01020,Textiles & Apparels,Garments & Apparels,201.39,-0.25,17.57,0,1,4306421,3885807,3307613,138.20,324.42,324.42,0.69,-6.80,-6.18,30.61,184.42,198.79,183.72,198.77,58.23,8.88,8.71,3.33,1.94,-1.27,51.24,41.68,1370952,29.76,7.76,4017.73
Kizi Apparels,544221,,INE0RMR01013,Textiles & Apparels,Garments & Apparels,15.84,13.96,-13.35,1,0,21214,13500,24000,10.10,26.00,45.60,10.10,13.14,7.68,17.33,13.98,18.00,13.90,18.02,60.95,0.06,-0.18,-0.28,-0.37,-23.22,,,17738,,,12.39
KJMC Corporate,532304,,INE602C01011,Finance,Other Financial Services,53.95,-18.42,-18.26,0,1,428,98,132,41.00,95.70,127.90,5.95,-0.92,6.41,-6.16,54.99,64.88,55.03,64.99,51.36,-0.47,-0.63,-0.69,-0.75,-34.84,11.95,29.18,1333,11.94,16.19,21.18
KJMC Financial,530235,,INE533C01018,Finance,Non Banking Financial Company (NBFC),51.94,-36.20,-40.34,0,1,2816,6989,1686,47.50,110.00,194.10,3.49,5.08,-1.72,-7.25,58.60,75.64,58.87,75.88,44.70,-2.07,-2.21,-2.20,-2.24,-52.89,11.52,39.08,2012,6.69,12.85,24.86
KK Shah Hospital,544013,,INE0OH401016,Healthcare Services,Hospital,37.99,-12.26,-13.66,1,0,6750,0,0,31.60,51.00,89.80,31.60,-0.03,0.00,1.17,40.50,45.87,40.60,45.95,47.84,-1.05,-1.11,-1.16,-1.18,-21.35,,,9734,,,25.87
KKalpana Inds.,526409,,INE301C01028,Chemicals & Petrochemicals,Specialty Chemicals,8.24,-19.37,-46.49,0,1,28587,17080,25674,7.36,16.00,47.95,1.72,1.60,4.30,1.35,8.67,10.78,8.69,10.81,51.60,-0.18,-0.22,-0.29,-0.32,-45.07,-14.43,-12.23,47971,-7.56,-7.45,77.52
Kkalpana Plastic,523652,,INE465K01016,Industrial Products,Plastic Products - Industrial,27.25,-6.00,11.32,0,1,322,491,21,16.72,35.78,60.29,1.62,0.00,6.20,1.87,27.18,26.43,27.17,26.42,52.99,-0.38,-0.51,-0.59,-0.64,11.27,25.31,57.30,343,30.05,,15.07
KKV Agro Powers,,KKVAPOW,INE239T01016,Consumer Durables,"Gems, Jewellery And Watches",693.00,22.87,9.46,1,0,456,171,171,440.45,693.00,1240.90,190.26,4.93,4.93,13.61,595.86,601.81,591.89,600.89,63.90,23.18,18.12,15.34,13.37,8.91,-5.44,19.81,304,16.69,,43.21
KLG Capital,530771,,INE929C01018,Finance,Non Banking Financial Company (NBFC),20.90,5.03,50.58,0,1,0,0,0,13.88,21.87,563.10,4.35,0.00,0.00,0.00,17.01,12.89,16.85,12.81,68.73,1.18,1.14,0.85,0.77,5.34,28.03,8.42,1414,18.50,-0.65,6.69
KM Sugar Mills,532673,KMSUGAR,INE157H01023,Agricultural Food & other Products,Sugar,24.71,-10.01,-13.45,0,1,106451,132104,148420,22.50,34.50,50.40,0.90,4.75,3.39,-9.09,25.78,27.81,25.83,27.84,46.00,-0.74,-0.85,-0.77,-0.78,-22.61,-2.61,17.89,135507,19.15,20.91,227.33
KMC Speciality,524520,,INE879K01018,Healthcare Services,Hospital,80.10,2.51,19.04,0,1,78891,63921,62299,57.00,92.90,104.95,0.17,-0.19,3.58,-5.79,77.85,73.82,77.76,73.76,54.46,-0.40,-0.65,-0.68,-0.75,11.05,9.09,27.90,65416,29.34,26.13,1306.43
KMF Builders,531578,,INE580H01026,Realty,"Residential, Commercial Projects",5.95,-31.13,-32.16,0,1,1515,877,35,5.85,13.70,14.43,1.38,-4.95,-7.89,-24.20,7.03,8.26,7.07,8.28,30.73,-0.29,-0.27,-0.23,-0.21,-45.71,4.39,4.83,4741,,6.43,7.25
KMG Milk Food,519415,,INE873N01015,Food Products,Packaged Foods,46.06,,-4.04,0,1,150,0,0,33.81,50.49,50.49,14.75,-4.99,0.00,,39.66,31.75,39.40,31.61,58.44,3.40,3.71,3.50,3.53,35.91,30.13,18.16,329,,7.36,24.43
KN Agri Resource,,KNAGRI,INE0KNW01016,Agricultural Food & other Products,Edible Oil,170.15,-22.04,-27.13,0,1,12404,4355,4114,153.95,273.50,310.00,98.60,0.94,-1.20,-10.15,185.50,210.38,186.13,210.78,43.74,-5.42,-5.77,-6.62,-6.92,-29.53,9.39,,19126,,,425.36
Knowledge Marine,543273,KMEW,INE0CJD01029,Engineering Services,Dredging,1761.40,33.81,111.06,0,1,206048,114558,100441,632.02,1965.00,1965.00,18.15,-0.91,-3.19,4.06,1683.01,1297.89,1679.81,1293.23,50.89,9.69,10.17,13.28,14.18,95.86,43.07,,92434,,,4305.59
Knowledge Realty,544481,KRT,INE1JAR25012,Realty,Real Estate Investment Trusts (REITs),125.58,5.61,,0,1,446692,499730,432943,103.00,129.49,129.49,103.00,-1.34,3.84,1.87,122.78,115.83,122.66,115.73,54.99,-0.01,-0.22,-0.33,-0.41,,,,1275983,,,55687.19
KNR Construct.,532942,KNRCON,INE634I01029,Construction,Civil Construction,147.75,-13.18,-25.64,0,1,1548046,1727596,969642,130.25,269.45,415.40,2.00,0.67,-4.33,3.19,153.13,190.00,153.35,190.43,49.27,-0.37,-0.37,-1.53,-1.82,-45.20,-17.45,-7.81,1832264,5.50,12.71,4155.24
Kobo Biotech,531541,,INE881A01015,Chemicals & Petrochemicals,Commodity Chemicals,2.90,-6.75,19.34,0,1,8022,5902,4263,1.99,3.58,72.00,1.19,0.69,0.69,20.83,2.53,2.62,2.51,2.62,64.56,0.15,0.14,0.10,0.09,0.35,-8.13,-5.56,9948,-9.69,-20.34,6.91
Kody Technolab,,KODYTECH,INE0Q7P01013,IT - Software,Computers - Software & Consulting,797.00,9.12,11.06,1,0,5715,2125,1800,556.05,1250.00,2087.50,84.50,0.94,6.97,-9.47,816.67,857.68,817.47,858.29,49.95,-31.20,-37.03,-40.41,-42.72,-34.03,,,14471,,,1015.98
Kohinoor Foods,512559,KOHINOOR,INE080B01012,Agricultural Food & other Products,Other Agricultural Products,26.30,-14.97,-24.86,0,1,92722,116205,123036,22.31,46.00,146.95,4.65,1.86,3.83,4.66,26.30,31.23,26.30,31.28,59.56,-0.13,-0.25,-0.52,-0.62,-29.24,-24.76,28.01,107967,-1.82,-3.50,97.50
Kokuyo Camlin,523207,KOKUYOCMLN,INE760A01029,Household Products,Stationary,88.16,-12.55,-19.47,0,1,48868,51178,68438,80.00,137.90,230.89,6.63,4.86,0.12,1.19,88.93,104.03,88.96,104.19,53.73,-1.00,-1.39,-1.59,-1.74,-21.07,7.81,6.97,120583,-0.15,2.50,884.28
Kolte Patil Dev.,532924,KOLTEPATIL,INE094I01018,Realty,"Residential, Commercial Projects",360.25,-13.60,-11.38,0,1,72830,151640,87354,235.10,497.80,585.00,18.50,-0.21,-0.37,-2.88,379.09,398.15,379.86,398.53,41.31,-5.34,-5.32,-5.64,-5.71,26.14,10.17,7.84,238468,5.85,13.40,3194.70
Konark Synth,514128,,INE517D01019,Textiles & Apparels,Other Textile Products,39.27,7.44,11.03,0,1,45,70,1,25.00,47.95,92.20,4.89,-4.98,-4.75,0.43,40.22,35.65,40.26,35.61,45.19,0.55,0.85,0.78,0.83,32.49,42.61,42.64,227,17.97,7.67,22.82
Konndor Indust.,532397,,INE971A01014,"Paper, Forest & Jute Products",Paper & Paper Products,15.64,-25.17,-12.82,0,1,1087,391,1044,10.47,23.00,26.50,0.95,9.99,4.90,-2.13,16.80,16.96,16.85,16.97,48.73,-0.63,-0.72,-0.66,-0.67,35.41,26.15,45.48,18300,43.31,14.93,8.63
Konstelec Engg.,,KONSTELEC,INE0QEI01011,Construction,Civil Construction,42.75,-28.15,-35.62,1,0,6471,9000,7000,38.50,99.00,322.80,38.50,-2.73,-1.50,-8.06,47.50,66.42,47.69,66.66,44.91,-1.23,-1.25,-1.39,-1.43,-56.82,,,13197,,,64.55
Kontor Space,,KONTOR,INE0KZ301010,Commercial Services & Supplies,Diversified Commercial Services,69.00,-3.29,-7.69,1,0,3635,11800,20400,53.25,93.50,200.05,53.25,8.58,13.11,3.99,64.87,75.46,64.70,75.52,59.08,-0.66,-1.34,-1.38,-1.56,-28.83,,,11177,,,42.64
Kopran,524280,KOPRAN,INE082A01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,142.88,-0.23,-8.98,0,1,234650,174923,155900,119.60,214.65,370.45,6.00,0.52,2.99,-3.62,140.92,163.42,140.84,163.62,56.66,-0.77,-1.41,-2.32,-2.71,-15.99,5.64,2.55,315728,21.31,12.60,689.90
Kore Digital,,KDL,INE0O4R01018,Telecom - Services,Telecom - Infrastructure,144.70,-23.05,-53.51,1,0,25358,54562,32250,135.20,488.00,952.05,41.08,4.97,-3.02,-15.28,167.13,241.87,168.04,242.85,37.13,-6.92,-6.63,-4.38,-3.75,-70.94,,,33715,,,173.99
Kotak Mah. Bank,500247,KOTAKBANK,INE237A01036,Banks,Private Sector Bank,429.30,3.44,8.51,0,1,20574791,24546659,21204089,378.78,460.38,460.38,5.71,0.12,4.11,0.62,422.44,415.35,422.16,415.21,57.92,-1.48,-2.63,-3.50,-4.00,11.88,6.60,1.93,5184516,7.45,13.19,426995.67
Kothari Ferment.,507474,,INE991B01010,Food Products,Other Food Products,42.36,-12.57,-29.27,0,1,4389,3776,3037,39.00,86.90,133.40,3.02,2.97,3.07,-1.49,43.48,53.36,43.52,53.47,49.71,-0.47,-0.55,-0.57,-0.60,-42.95,-7.86,-1.93,12345,-5.27,7.35,63.54
Kothari Indl,509732,,INE972A01020,Fertilizers & Agrochemicals,Fertilizers,204.95,-58.22,-58.34,0,1,13363,12260,5498,106.85,624.95,624.95,1.80,-0.92,-6.48,-2.64,249.31,321.72,251.12,322.90,44.27,-6.78,-7.17,-12.01,-13.32,60.12,,,13148,,,2213.91
Kothari Petroche,,KOTHARIPET,INE720A01015,Chemicals & Petrochemicals,Petrochemicals,121.93,-15.77,-24.90,0,1,31233,25092,21183,111.56,191.95,267.42,3.50,-0.74,-0.29,3.02,124.73,144.57,124.85,144.80,52.02,-0.88,-1.15,-1.98,-2.25,-24.67,20.26,38.36,66467,31.38,20.72,717.51
Kothari Products,530299,KOTHARIPRO,INE823A01017,Commercial Services & Supplies,Trading & Distributors,71.53,-17.39,-8.79,0,1,10424,12867,9817,60.11,109.00,136.20,14.03,-0.42,6.10,2.83,71.92,78.25,71.94,78.31,56.02,-0.72,-1.09,-1.69,-1.93,-18.56,8.12,15.02,67082,7.85,-1.59,426.95
Kothari Sugars,,KOTARISUG,INE419A01022,Agricultural Food & other Products,Sugar,28.03,-6.91,-1.72,0,1,37791,37876,72287,23.51,41.44,71.70,4.45,5.02,7.44,5.81,26.71,31.81,26.65,31.85,67.73,-0.07,-0.30,-0.53,-0.65,-27.94,-10.84,4.31,71109,18.09,12.61,232.34
Kotia Enterprise,539599,,INE079C01012,Retailing,Distributors,29.42,-12.34,-1.93,0,1,161,148,11,20.98,40.38,40.38,9.91,0.00,4.59,8.80,28.80,28.36,28.78,28.35,57.41,0.14,-0.01,-0.53,-0.70,-0.44,26.14,16.69,259,6.01,,20.65
Kotyark Indust.,,KOTYARK,INE0J0B01017,Gas,LPG/CNG/PNG/LNG Supplier,218.50,-18.79,-17.19,1,0,6920,9825,9700,191.20,700.00,1582.00,43.50,0.92,6.09,3.21,225.40,327.16,225.68,328.26,53.61,-4.54,-5.94,-8.24,-9.16,-69.13,-17.21,,14141,,,224.60
Koura Fine Diamo,544139,,INE0M8R01011,Consumer Durables,"Gems, Jewellery And Watches",37.15,-13.60,-11.02,1,0,8000,8000,6000,25.05,49.10,78.75,25.05,5.39,-7.13,11.90,36.94,40.50,36.93,40.53,51.73,-0.14,-0.28,-0.76,-0.91,-4.74,,,7020,,,20.29
Kovai Medical,523323,KOVAI,INE177F01017,Healthcare Services,Hospital,5404.45,-11.16,-16.50,0,1,5249,9652,5977,4810.20,6725.00,6725.00,24.55,0.05,0.20,-3.10,5614.95,5836.02,5623.55,5840.36,44.93,-71.69,-78.83,-96.87,-103.17,-1.46,46.00,37.64,6268,33.43,22.88,5912.47
Kovil. Lak. Rol.,507598,,INE014E01015,Food Products,Other Food Products,94.98,-19.17,-30.97,0,1,2595,1419,2694,75.11,145.00,299.00,11.65,0.21,-0.12,4.52,98.65,114.12,98.80,114.31,50.98,-1.28,-1.58,-2.25,-2.49,-13.38,-14.82,15.35,3564,14.87,6.27,85.88
KP Green Engg.,544150,,INE0QVH01025,Electrical Equipment,Heavy Electrical Equipment,413.45,-18.10,-19.44,1,0,64962,69625,98750,340.00,626.65,768.85,200.00,-1.17,0.36,-0.51,422.93,476.03,423.32,476.66,54.07,-2.38,-3.69,-8.42,-9.92,-7.13,,,90111,,,2067.25
KPI Green Energy,542323,KPIGREEN,INE542W01025,Power,Power Generation,420.75,-10.87,-17.28,0,1,1664232,1056314,1109734,335.55,563.00,745.33,2.28,0.44,2.07,-4.69,432.22,460.00,432.69,460.40,49.61,-8.91,-10.50,-10.52,-10.93,-1.82,58.40,129.08,1515779,76.52,,8303.13
KPIT Technologi.,542651,KPITTECH,INE04I401011,IT - Software,Computers - Software & Consulting,973.60,-21.40,-19.74,0,1,1162973,996449,1115287,943.20,1434.50,1928.75,34.35,1.00,-0.79,-16.97,1113.69,1215.54,1119.41,1217.97,25.51,-56.34,-57.25,-48.18,-46.14,-29.47,4.41,48.32,1082225,,,26690.64
KPT Industries,505299,,INE731D01024,Industrial Manufacturing,Industrial Products,652.00,1.08,-10.58,0,1,1869,2907,4037,511.00,1028.05,1360.00,19.00,1.27,10.65,5.92,606.61,702.53,604.76,703.03,65.59,0.42,-5.63,-11.50,-14.48,-9.38,39.28,50.07,3631,40.43,37.70,221.68
Kranti Industrie,542459,,INE911T01010,Auto Components,Auto Components & Equipments,66.12,-20.32,-21.06,0,1,2385,3078,2609,64.01,119.79,123.70,9.58,-0.71,-4.86,-8.85,73.88,83.26,74.20,83.43,38.09,-2.55,-2.62,-2.99,-3.10,-32.91,-9.55,34.17,10397,,,84.37
KRBL,530813,KRBL,INE001B01026,Agricultural Food & other Products,Other Agricultural Products,370.25,-2.33,-21.15,0,1,489717,410096,227988,225.70,495.00,675.00,4.25,-0.31,1.74,3.77,367.26,369.55,367.14,369.54,57.48,-2.06,-3.69,-7.97,-9.45,30.16,-1.31,14.11,983584,2.57,7.64,8474.65
Krebs Biochem,524518,KREBSBIO,INE268B01013,Pharmaceuticals & Biotechnology,Pharmaceuticals,57.00,-16.19,-24.33,0,1,12068,37278,10288,51.00,113.90,227.95,9.08,0.74,-1.14,-9.03,63.61,71.83,63.88,71.98,38.91,-2.48,-2.53,-2.44,-2.43,-39.60,-15.31,-12.40,16015,-5.88,-6.15,122.90
Kreon Finnancial,530139,,INE302C01018,Finance,Non Banking Financial Company (NBFC),29.23,-16.60,-38.59,0,1,2342,1959,5858,17.85,55.00,102.30,1.72,5.49,-0.85,-1.02,31.51,32.55,31.61,32.59,46.41,-0.67,-0.67,-0.66,-0.66,29.34,-15.79,35.16,5290,23.74,11.34,59.11
Kretto Syscon,531328,,INE128R01023,Realty,"Residential, Commercial Projects",0.47,-57.66,-69.48,0,1,3979244,3958072,7869205,0.45,2.52,13.46,0.11,0.00,-2.08,-34.72,0.73,1.17,0.74,1.18,21.59,-0.09,-0.09,-0.09,-0.09,-66.90,3.01,5.48,4128634,1.28,-3.19,31.84
Kridhan Infra,533482,KRIDHANINF,INE524L01026,Construction,Civil Construction,3.79,4.99,-4.77,0,1,122713,64303,53386,3.03,5.39,142.40,1.10,-1.56,-9.33,-8.01,3.94,4.05,3.95,4.05,45.13,-0.02,-0.01,-0.03,-0.03,-6.19,6.36,-1.07,123600,-25.78,-27.13,35.92
Krishana Phosch.,,KRISHANA,INE506W01012,Fertilizers & Agrochemicals,Fertilizers,514.10,-0.55,-5.57,0,1,97806,97447,91385,175.15,619.00,619.00,14.00,2.39,8.05,4.17,500.36,467.86,499.80,467.40,58.93,-2.92,-5.63,-7.64,-8.82,173.34,30.89,71.16,181125,50.79,,3113.01
Krishanveer Forg,513369,,INE013J01016,Industrial Products,Castings & Forgings,135.90,1.95,1.19,0,1,1568,1658,1621,64.30,153.90,164.10,6.00,0.82,0.82,1.38,135.83,126.91,135.83,126.82,51.98,-0.99,-1.32,-1.86,-2.08,61.90,46.75,31.06,5374,20.90,23.36,148.67
Krishca Strapp.,,KRISHCA,INE0NR701018,Industrial Products,Iron & Steel Products,180.00,-6.98,-20.21,1,0,12775,24750,50500,150.00,300.00,430.00,96.00,-0.39,-5.01,-11.09,188.66,213.72,189.01,214.06,44.10,-1.95,-1.68,-1.63,-1.55,-19.17,,,20226,,,259.92
Krishival Foods,544416,KRISHIVAL,INE0GGO01015,Food Products,Other Food Products,350.00,-24.23,-3.01,0,1,22229,29797,94198,200.38,482.43,482.43,38.65,3.87,4.12,-0.30,363.35,368.22,363.90,368.40,52.85,-8.46,-10.85,-14.13,-15.54,54.14,9.07,,24621,,,933.89
Krishna Capital,539384,,INE897B01019,Finance,Non Banking Financial Company (NBFC),26.60,5.81,-7.89,0,1,327,546,1083,18.16,35.43,40.10,2.66,0.26,2.27,18.12,24.72,26.42,24.64,26.42,61.92,0.54,0.47,0.35,0.30,-17.77,-1.46,39.70,341,22.17,20.83,8.40
Krishna Defence,,KRISHNADEF,INE0J5601015,Aerospace & Defense,Aerospace & Defense,976.80,23.40,23.64,0,1,208068,132760,102984,503.00,1178.90,1178.90,53.05,-0.99,3.07,8.01,888.65,813.99,885.06,812.35,56.97,31.20,32.25,37.21,38.71,54.22,84.31,,62897,,,1457.29
Krishna Fil. Ind,500248,KRISNAFILA,INE073A01019,Industrial Products,Plastic Products - Industrial,6.78,34.79,1.50,0,1,6,4,4,3.93,8.40,60.40,2.29,-0.29,-0.29,4.63,5.89,6.35,5.85,6.35,75.73,0.41,0.40,0.32,0.30,-19.29,19.33,12.28,1639,-3.18,-4.72,5.28
Krishna Institu.,543308,KIMS,INE967H01025,Healthcare Services,Hospital,649.85,-4.17,-12.78,0,1,478551,803924,1212776,474.05,798.40,798.40,187.51,0.49,6.59,5.87,632.96,656.59,632.27,656.66,59.93,-1.29,-4.70,-7.50,-9.05,7.58,30.30,,563934,,,26003.03
Krishna Vent.,504392,,INE537L01010,Realty,"Residential, Commercial Projects",27.24,87.09,46.45,0,1,16283,5866,2327,12.44,54.65,781.00,2.10,0.59,12.10,22.92,22.41,24.81,22.21,24.79,62.45,1.48,1.51,1.87,1.97,-46.97,-36.68,18.78,17613,24.67,,29.42
Kriti Industries,526423,KRITI,INE479D01038,Industrial Products,Plastic Products - Industrial,88.37,-11.02,-41.96,0,1,26824,70936,49415,72.00,179.00,270.00,1.30,1.06,12.14,7.62,85.45,113.39,85.33,113.64,64.26,0.16,-0.55,-1.55,-1.98,-34.86,-0.90,6.58,39173,17.96,12.69,465.67
Kriti Nutrients,533210,KRITINUT,INE798K01010,Agricultural Food & other Products,Edible Oil,74.79,-17.91,-25.95,0,1,26155,17247,23083,63.55,125.01,166.90,2.11,0.97,0.31,4.89,74.84,89.80,74.84,89.95,53.52,0.32,0.24,0.07,0.00,-36.37,15.25,10.97,35773,12.89,14.04,374.72
Kritika Wires,,KRITIKA,INE00Z501029,Industrial Products,Iron & Steel Products,6.67,-16.94,-26.46,0,1,136735,142212,108437,6.12,11.22,24.50,2.07,0.60,0.30,-6.19,7.09,8.60,7.11,8.62,44.50,-0.15,-0.16,-0.18,-0.18,-28.59,26.18,21.78,225477,16.43,,177.61
KRM Ayurveda,,KRMAYURVED,INE1MTV01019,Pharmaceuticals & Biotechnology,Pharmaceuticals,194.75,,,1,0,452000,109000,199000,156.15,194.75,194.75,156.15,4.99,14.06,,179.10,180.19,178.46,180.05,,0.21,-1.41,-1.49,-1.91,,,,452000,,,414.05
KRN Heat Exchan,544263,KRN,INE0Q3J01015,Industrial Products,Other Industrial Products,739.00,-8.30,-13.36,0,1,273775,393267,275655,589.75,1010.00,1012.00,402.10,1.85,5.80,6.16,712.17,767.90,711.08,768.19,60.87,-3.31,-9.31,-17.88,-21.53,-10.38,,,928163,,,4593.37
Kronox Lab,544187,KRONOX,INE0ATZ01017,Chemicals & Petrochemicals,Specialty Chemicals,130.03,-14.21,-19.14,0,1,44017,37574,37802,118.00,207.49,228.88,118.00,0.95,3.12,-1.17,133.27,150.44,133.40,150.64,52.84,-2.10,-2.64,-3.31,-3.61,-23.25,,,141602,,,482.46
Kross Ltd,544253,KROSS,INE0O6601022,Auto Components,Auto Components & Equipments,211.05,16.55,31.33,0,1,503947,474891,234825,131.15,237.60,271.00,131.15,-2.01,-0.57,3.74,195.01,190.89,194.35,190.69,58.57,5.05,4.89,3.93,3.66,19.16,,,1117255,,,1361.47
Krsnaa Diagnost.,543328,KRSNAA,INE08LI01020,Healthcare Services,Healthcare Service Provider,700.30,-13.93,-11.38,0,1,85499,172085,281893,625.75,894.40,1099.70,353.10,0.11,-3.63,-2.52,730.47,763.47,731.70,764.10,43.35,-7.25,-6.99,-7.77,-7.90,-15.09,18.02,,101117,,,2271.68
Krupalu Metals,544509,,INE0XZB01017,Industrial Products,"Aluminium, Copper & Zinc Products",38.29,-35.47,,1,0,9347,5867,4800,35.50,63.40,63.40,35.50,-4.99,-7.51,-14.84,46.11,52.86,46.43,53.00,36.30,-2.51,-2.46,-2.74,-2.80,,,,24691,,,22.48
Krypton Industri,523550,,INE951B01014,Diversified,Diversified,36.30,-19.35,-21.00,0,1,4578,4452,3701,35.00,63.29,103.00,5.99,0.69,-1.65,-8.79,39.56,46.33,39.69,46.43,41.89,-0.97,-0.99,-1.06,-1.09,-41.61,19.08,29.94,10190,18.60,11.43,53.36
Krystal Integrat,544149,KRYSTAL,INE0QN801017,Commercial Services & Supplies,Diversified Commercial Services,645.75,20.50,4.82,0,1,79542,59504,102461,405.50,729.75,1023.75,405.50,5.10,7.29,4.70,580.73,594.47,578.07,593.95,75.42,15.98,13.62,15.45,15.31,26.04,,,64324,,,902.24
KSB,500249,KSB,INE999A01023,Industrial Products,"Compressors, Pumps & Diesel Engines",733.15,-3.42,-8.42,0,1,76827,50472,46354,582.25,917.90,1060.00,16.00,0.40,2.14,-2.36,732.16,769.83,732.12,770.20,54.16,-5.16,-7.54,-10.30,-11.59,13.46,25.54,40.81,215035,27.88,21.67,12759.69
KSE,519421,,INE953E01022,Food Products,Animal Feed,234.90,-6.25,-0.83,0,1,17733,9642,18249,180.00,284.90,400.01,8.20,5.88,4.40,5.24,228.10,232.24,227.82,232.22,61.77,-0.16,-1.25,-1.64,-2.01,12.39,8.75,-1.20,8636,6.36,16.78,751.68
KSH Internationa,544664,KSHINTL,INE987S01020,Industrial Products,Cables - Electricals,370.35,,,0,1,205386,262084,201523,330.00,403.70,403.70,330.00,0.93,2.66,8.18,356.22,355.29,355.65,355.14,56.39,3.36,2.66,0.68,0.01,,,,635814,,,2509.33
Kshitij Polyline,,KSHITIJPOL,INE013801027,Chemicals & Petrochemicals,Printing Inks,2.72,-3.55,-12.82,0,1,247547,425326,1223713,1.88,4.01,65.47,1.88,19.82,28.30,13.33,2.37,3.01,2.35,3.01,72.39,-0.03,-0.08,-0.09,-0.11,-29.53,-56.11,-8.15,242870,-8.43,,41.95
Ksolves India,543599,KSOLVES,INE0D6I01023,IT - Software,Computers - Software & Consulting,304.05,-1.95,-1.04,0,1,71960,159478,171067,250.05,497.75,733.82,6.31,3.65,13.96,10.04,284.60,329.42,283.81,329.67,63.44,-1.65,-4.59,-5.08,-5.94,-33.73,12.51,49.90,83041,,,721.22
KSR Footwear,544615,KSR,INE1SPP01016,Commercial Services & Supplies,Trading & Distributors,29.73,,,0,1,77096,45923,64925,14.04,34.95,34.95,14.04,4.98,8.27,19.69,25.70,28.81,25.53,28.81,66.31,1.31,1.18,1.16,1.13,,,,229463,,,54.64
Kuantum Papers,532937,KUANTUM,INE529I01021,"Paper, Forest & Jute Products",Paper & Paper Products,89.71,-13.41,-21.23,0,1,32107,31719,33932,83.00,135.00,225.85,2.10,-0.02,1.13,-3.55,92.00,105.29,92.09,105.45,50.78,-1.00,-1.22,-1.50,-1.63,-21.52,-11.65,10.04,69845,10.84,21.94,782.84
Kuber Udyog,539408,,INE594R01018,Finance,Non Banking Financial Company (NBFC),12.42,-19.09,-26.33,0,1,725,1149,2559,11.47,21.25,95.00,0.36,2.48,4.02,-11.91,13.83,16.00,13.88,16.03,45.01,-0.55,-0.61,-0.66,-0.69,-9.61,130.82,81.53,1626,22.39,,4.26
Kuberan Global,543289,,INE04CO01018,Other Consumer Services,Education,40.54,-38.18,4.67,0,1,3000,3000,3000,31.88,65.58,65.58,9.30,0.00,0.00,-10.92,44.48,29.47,44.64,29.36,32.47,-2.47,-2.24,-1.02,-0.65,27.16,31.57,,10174,,,8.54
Kumbhat Fin.,526869,,INE795E01019,Finance,Non Banking Financial Company (NBFC),21.50,0.42,-7.49,0,1,399,283,327,13.87,28.00,28.00,1.71,2.38,7.50,4.88,21.59,21.33,21.59,21.33,52.64,-0.37,-0.48,-0.56,-0.60,19.38,26.39,,1006,,,11.46
Kundan Edifice,,KEL,INE0OWX01025,Consumer Durables,Consumer Electronics,97.00,-6.87,-10.10,1,0,5550,2400,2400,81.00,148.00,278.35,65.00,-1.02,-1.02,-2.51,100.46,110.85,100.60,110.99,46.70,-1.90,-2.07,-2.20,-2.28,-28.94,,,13423,,,99.64
Kunststoff Inds.,523594,,INE638D01021,Industrial Products,Plastic Products - Industrial,23.59,-0.97,8.46,0,1,704,1948,682,20.32,33.50,60.60,0.64,2.61,0.00,3.78,22.99,24.38,22.96,24.39,55.58,0.03,-0.06,-0.16,-0.21,-15.08,-4.46,5.50,2218,-3.31,2.46,16.25
Kush Industries,514240,,INE979D01011,Textiles & Apparels,Other Textile Products,6.90,-13.75,-16.46,0,1,7424,4616,1860,6.21,11.50,33.45,0.46,-1.29,0.58,-6.88,7.38,8.15,7.40,8.16,43.78,-0.18,-0.19,-0.19,-0.20,-30.02,3.19,31.42,10461,,24.04,10.52
