Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Return over 3months,Return over 6months,Is SME,Is not SME,Volume 1month average,Volume 1week average,Volume,Low price,High price,High price all time,Low price all time,Return over 1day,Return over 1week,Return over 1month,DMA 50,DMA 200,DMA 50 previous day,DMA 200 previous day,RSI,MACD,MACD Previous Day,MACD Signal,MACD Signal Previous Day,Return over 1year,Return over 3years,Return over 5years,Volume 1year average,Return over 7years,Return over 10years,Market Capitalization
Ganesha Ecoverse,539041,,INE369Q01017,Commercial Services & Supplies,Trading & Distributors,27.87,-16.63,-26.27,1,0,28611,18750,11250,24.16,45.00,90.24,2.46,1.42,8.02,3.26,28.38,33.31,28.40,33.36,53.24,-0.50,-0.66,-0.72,-0.78,-25.18,-2.49,26.84,58634,12.73,11.26,68.55
Ganga Bath Fitt.,,GANGABATH,INE0ZI101018,Consumer Durables,Sanitary Ware,19.25,-18.43,-23.91,1,0,23471,10500,9000,18.20,59.00,59.00,18.20,2.94,2.39,-4.70,20.83,30.69,20.90,30.80,44.51,-0.64,-0.71,-0.69,-0.71,,,,58558,,,42.75
Ganga Forging,,GANGAFORGE,INE691Z01023,Industrial Products,Castings & Forgings,3.36,0.60,-1.47,0,1,817915,269197,344515,2.70,6.64,25.00,0.65,1.51,-0.30,0.30,3.37,3.96,3.37,3.97,50.44,0.00,-0.01,-0.01,-0.01,-48.39,-6.42,2.43,656215,9.95,,45.29
Ganga Papers,531813,,INE278O01015,"Paper, Forest & Jute Products",Paper & Paper Products,89.20,8.48,-8.32,0,1,158,4,1,75.13,113.50,191.26,9.53,4.94,7.34,10.74,85.51,93.40,85.36,93.44,61.86,-0.07,-0.58,-0.67,-0.82,-15.89,5.97,22.76,113,3.80,24.44,96.24
Ganga Pharma.,539680,,INE615T01017,Pharmaceuticals & Biotechnology,Pharmaceuticals,12.00,-17.81,-17.81,1,0,18667,0,0,9.25,14.80,28.49,5.00,-14.10,0.00,2.74,15.46,13.74,15.60,13.76,43.45,-1.26,-1.26,-1.57,-1.64,-29.41,-4.85,9.86,19111,8.92,,7.09
Ganges Securitie,540647,GANGESSECU,INE335W01016,Agricultural Food & other Products,Tea & Coffee,131.60,-14.34,-21.71,0,1,5511,3573,2297,109.60,191.00,230.08,19.45,1.25,3.96,3.30,132.75,148.19,132.80,148.36,56.82,-1.63,-2.32,-3.33,-3.76,-18.37,4.48,14.61,7543,18.87,,131.65
Ganon Products,512443,,INE162L01017,Commercial Services & Supplies,Trading & Distributors,15.70,-1.88,26.82,0,1,38612,56247,18353,5.57,17.39,18.00,1.61,-1.26,0.58,15.61,15.25,13.32,15.23,13.30,53.93,0.12,0.10,-0.01,-0.04,100.26,,9.22,69156,2.63,,14.65
Garbi Finvest,539492,,INE721C01019,Finance,Non Banking Financial Company (NBFC),12.95,-14.91,9.65,0,1,3545,2227,725,9.17,16.98,70.20,9.17,2.45,-0.15,-1.89,13.14,13.13,13.15,13.13,48.12,-0.10,-0.11,-0.11,-0.11,-13.84,-25.52,,9778,,-3.99,15.19
Garden Reach Sh.,542011,GRSE,INE382Z01011,Aerospace & Defense,Aerospace & Defense,2515.40,-8.52,-2.80,0,1,1719619,1041706,1414690,1180.10,3538.40,3538.40,77.00,0.03,-0.28,1.41,2487.61,2422.92,2486.48,2421.99,52.38,15.08,13.75,11.82,11.01,73.32,74.04,66.22,2355465,62.71,,28814.41
Garg Furnace,530615,,INE194E01015,Industrial Products,Iron & Steel Products,143.60,-8.24,-19.71,0,1,5559,4078,1208,120.10,265.80,441.20,6.65,2.75,4.59,8.46,137.68,168.69,137.44,168.94,62.58,1.03,0.31,-0.62,-1.04,-43.61,26.55,69.51,5276,39.63,29.90,97.77
