Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,Price to Earning,Price to book value,Return on assets,Debt to equity,Return on equity,Promoter holding,Industry PE,Price to Quarterly Earning,Book value,Piotroski score,Asset Turnover Ratio,Industry PBV,FII holding,Change in FII holding,DII holding,Change in DII holding,Change in DII holding 3Years,Change in FII holding 3Years,Average Working Capital Days 3years,Market Capitalization 5years back,Market Capitalization 10years back,Market Capitalization 3years back,Historical PE 5Years,Historical PE 10Years,Historical PE 3Years,Return on assets 3years,Return on assets 5years,OPM 10Year,OPM 5Year,Return on equity 5years growth,Average return on equity 10Years,Average return on capital employed 10Years,Average return on capital employed 7Years,Average return on capital employed 5Years,Average return on capital employed 3Years,Book value 10years back,Book value 5years back,Book value 3years back,Average return on equity 5Years,Average return on equity 3Years,Book value preceding year,Return on capital employed preceding year,Return on assets preceding year,Return on equity preceding year,Number of Shareholders preceding quarter
Kakatiya Textile,521054,,INE092E01011,Textiles & Apparels,Other Textile Products,11.50,6.68,39.29,,4.06,,,51.03,20.04,,-24.47,9.00,1.02,1.65,0.00,0.00,0.02,0.00,0.00,0.00,-2824.70,1.84,1.45,6.48,8.36,8.36,10.66,-1.15,1.45,-1.06,5.36,,,-5.44,0.39,5.74,0.73,-13.11,-28.53,-22.77,,,-24.46,-27.18,-6.88,,10419.00
Kalana Ispat,,KALANA,INE0T0L01014,Industrial Products,Iron & Steel Products,17.55,22.89,44.88,0.53,3.62,0.06,4.50,62.91,19.66,1141.00,33.01,5.00,1.65,1.99,0.00,0.00,0.00,0.00,,,26.20,,,,27.77,27.77,27.77,6.84,,,2.53,,,12.94,12.94,12.94,14.93,,,,9.40,10.50,,25.11,13.42,30.92,1457.00
Kallam Textiles,530201,,INE629F01025,Textiles & Apparels,Other Textile Products,3.36,17.74,,0.23,-7.89,4.65,-28.47,45.61,20.04,,15.03,3.00,0.51,1.65,0.00,0.00,0.00,0.00,0.00,-0.17,-164.56,20.01,35.96,84.06,6.57,8.42,28.21,-5.68,-3.25,10.29,6.07,,-3.27,4.22,1.85,1.10,-2.42,14.18,37.64,40.06,-9.14,-17.10,30.90,-4.20,-6.92,-20.63,10896.00
Kalpa Commer.,539014,,INE059Q01014,Commercial Services & Supplies,Trading & Distributors,8.62,8.84,,0.40,-10.97,0.00,-11.62,20.53,30.74,221.00,21.81,4.00,0.11,2.55,0.00,0.00,0.00,0.00,0.00,0.00,1548.20,1.75,65.36,1.75,,502.27,,-24.10,-16.34,-53.33,-62.46,,-6.66,-8.03,-11.62,-16.36,-24.13,51.14,51.60,46.93,-16.26,-30.39,24.33,-0.53,-0.76,-0.80,5579.00
Kalpat.,544423,KALPATARU,INE227J01012,Realty,"Residential, Commercial Projects",330.65,6808.57,,1.74,0.16,2.24,1.23,81.34,31.86,,193.16,7.00,0.15,2.60,7.96,0.28,6.51,-0.28,,,537.72,,,,294.86,294.86,294.86,-0.89,-0.88,,-1.30,19.02,,1.15,1.15,1.15,0.02,,,,-7.14,-7.26,,-0.73,-1.05,-10.94,60937.00
Kalpataru Proj.,522287,KPIL,INE220B01022,Construction,Civil Construction,1129.25,19284.45,22.70,2.79,2.36,0.69,9.96,33.57,16.51,28.60,407.68,6.00,0.94,2.02,11.73,-0.24,43.90,-0.20,6.86,6.21,45.26,2825.88,3367.69,5461.24,23.02,23.50,30.12,2.32,2.53,10.55,9.54,-3.57,10.61,15.92,16.83,15.47,15.34,146.44,251.06,287.33,10.51,9.72,316.29,15.99,2.49,10.37,120825.00
Kalyan Capitals,538778,,INE149Q01021,Finance,Non Banking Financial Company (NBFC),6.68,35.08,10.09,0.68,1.44,4.97,5.18,67.61,20.07,7.69,10.03,6.00,0.12,1.79,0.00,0.00,0.00,0.00,0.00,0.00,10.95,17.25,,31.32,21.07,19.92,15.97,2.76,2.71,,88.54,-9.31,,11.48,11.48,11.77,14.30,,6.49,7.01,7.63,8.69,8.95,18.06,3.79,11.47,10901.00
Kalyan Jewellers,543278,KALYANKJIL,INE303R01014,Consumer Durables,"Gems, Jewellery And Watches",425.95,43986.21,37.98,8.26,5.13,1.00,15.95,62.76,23.24,25.20,51.72,6.00,1.79,3.03,14.11,-0.01,15.23,0.67,12.34,-14.61,26.77,,,6051.56,49.39,49.39,69.22,4.94,3.45,,7.26,17.14,,11.07,11.07,11.81,13.92,,27.44,30.45,11.55,15.01,40.67,14.04,5.06,15.24,715743.00
Kalyani Cast-Tec,544023,,INE0N6U01018,Industrial Manufacturing,Industrial Products,474.00,340.36,21.60,4.59,20.04,0.00,24.25,59.48,29.38,17.57,103.22,6.00,2.00,3.64,0.01,0.00,0.47,0.04,,,55.31,,,,26.48,26.48,26.48,27.13,18.22,,13.43,76.02,,34.07,34.07,34.07,49.40,,,,29.93,31.53,70.12,35.16,21.48,29.55,2094.00
Kalyani Forge,513509,KALYANIFRG,INE314G01014,Industrial Products,Castings & Forgings,599.30,218.15,28.68,2.37,3.86,0.99,9.77,58.76,25.73,25.96,252.94,6.00,1.09,3.47,0.00,0.00,0.00,0.00,0.00,0.00,44.98,32.01,100.41,63.28,34.07,33.93,40.13,2.02,1.39,7.01,6.84,28.52,2.60,6.01,5.74,6.32,8.35,268.42,275.40,282.96,3.11,4.94,225.43,8.85,2.34,5.64,7236.00
Kalyani Invest.,533302,KICL,INE029L01018,Finance,Investment Company,4901.00,2141.74,47.95,0.24,0.79,0.00,0.84,74.97,23.65,28.11,20575.58,5.00,0.01,0.85,0.65,0.08,0.47,0.24,0.45,-2.07,-12.50,417.10,930.01,690.81,23.64,17.24,30.55,0.92,0.98,90.38,90.50,-12.73,1.31,1.54,1.46,1.33,1.27,1005.06,10601.13,12257.67,0.99,0.94,19023.89,1.29,0.95,0.99,25545.00
Kalyani Steels,500235,KSL,INE907A01026,Industrial Products,Iron & Steel Products,763.60,3333.35,12.42,1.70,9.48,0.22,14.04,64.70,19.66,12.71,451.16,7.00,0.74,1.99,1.78,-0.08,11.10,0.36,1.96,-1.10,0.43,556.14,587.13,1293.88,9.95,9.30,13.69,8.85,10.23,18.02,18.22,-1.03,16.10,19.79,18.38,17.96,15.16,135.05,264.41,313.26,15.36,13.82,387.47,16.63,10.00,15.51,47085.00
Kama Holdings,532468,,INE411F01010,Finance,Holding Company,2689.00,8629.16,9.19,1.15,5.72,0.60,9.11,75.00,19.42,8.46,2378.11,6.00,0.68,1.82,0.29,-0.01,0.03,-0.01,0.03,0.25,58.63,2554.45,586.89,7803.13,9.25,8.16,10.48,8.78,9.79,21.62,22.77,-14.79,17.14,15.49,16.61,17.83,16.06,495.33,1162.91,1497.18,16.62,14.97,2059.38,13.56,7.57,14.15,14610.00
Kamadgiri Fash.,514322,,INE535C01013,Textiles & Apparels,Other Textile Products,82.01,48.14,61.71,1.35,1.46,0.58,4.23,37.51,20.04,19.95,61.23,8.00,1.76,1.65,0.00,0.00,0.00,0.00,0.00,0.00,33.84,19.08,22.54,25.09,46.47,16.65,46.96,-0.89,-1.50,4.86,4.29,20.24,0.11,9.11,6.29,5.09,6.24,58.02,56.70,57.89,-6.57,-3.95,58.57,0.91,-4.53,-17.84,1456.00
Kamanwala Housin,511131,,INE344D01018,Realty,"Residential, Commercial Projects",16.75,23.59,0.52,0.21,-4.92,0.01,-5.15,41.36,31.86,119.75,81.87,5.00,0.12,2.60,0.00,0.00,0.00,0.00,0.00,0.00,2687.94,6.17,23.68,18.04,47.33,52.86,0.67,-3.62,-2.20,-22.08,-69.23,,-2.65,-1.21,-1.52,-2.11,-3.47,56.78,56.76,56.86,-2.41,-3.94,49.46,-3.29,-3.00,-3.26,5436.00
Kamat Hotels,526668,KAMATHOTEL,INE967C01018,Leisure Services,Hotels & Resorts,191.45,564.39,18.10,2.01,7.48,0.92,18.61,57.78,32.50,7.14,95.53,7.00,0.59,2.95,0.10,-0.87,3.84,-0.02,3.84,0.06,-127.66,40.92,146.22,164.73,18.01,16.11,16.11,8.31,2.32,28.84,29.92,,,11.26,13.77,13.43,20.92,7.01,-67.31,-76.82,,,79.38,17.50,3.13,10.64,23980.00
Kamdhenu,532741,KAMDHENU,INE390H01020,Industrial Products,Iron & Steel Products,22.29,628.32,8.99,1.74,18.66,0.00,21.99,49.03,19.66,8.87,12.92,6.00,2.29,1.99,2.52,-0.69,0.01,0.00,-0.28,2.18,28.05,63.43,49.37,317.62,15.14,12.03,19.44,17.11,12.46,6.01,8.73,9.14,16.00,19.02,21.26,23.47,28.39,4.52,7.23,8.33,18.77,22.56,8.81,33.03,20.43,24.91,48576.00
Kamdhenu Venture,543747,KAMOPAINTS,INE0BTI01037,Consumer Durables,Paints,5.19,163.10,28.28,1.00,2.49,0.19,4.10,50.33,35.21,41.71,5.33,4.00,0.99,4.53,1.18,-0.26,0.01,0.00,,,124.79,,,,50.67,50.67,50.67,-0.64,,,,,,3.97,3.97,3.97,3.97,,,,,3.02,5.07,12.29,5.85,11.96,104517.00
Kanani Industrie,506184,KANANIIND,INE879E01037,Consumer Durables,"Gems, Jewellery And Watches",1.74,34.42,16.30,0.51,0.81,0.00,1.19,33.79,23.24,6.22,3.38,6.00,1.79,3.03,0.00,0.00,0.00,0.00,0.00,0.00,112.05,12.47,79.75,221.25,61.33,78.00,59.17,0.99,0.65,0.52,0.55,-19.72,1.81,2.49,2.52,1.99,2.25,2.46,2.85,2.97,1.31,1.89,3.20,1.80,0.55,0.98,92756.00
Kanchi Karpooram,538896,,INE081G01019,Chemicals & Petrochemicals,Commodity Chemicals,355.00,154.19,29.26,0.72,6.67,0.06,6.94,50.40,17.50,91.73,498.47,7.00,0.71,1.20,0.00,0.00,0.00,0.00,-0.06,-0.47,214.27,74.21,8.70,297.54,13.00,8.41,18.77,4.89,15.36,18.08,17.86,-26.68,18.37,30.96,32.31,22.45,7.00,17.82,359.26,425.88,13.87,5.07,457.91,1.55,0.91,0.94,11798.00
Kanco Tea,541005,,INE398L01017,Agricultural Food & other Products,Tea & Coffee,66.00,33.81,,0.46,-6.73,0.71,-12.93,70.35,24.96,,143.14,4.00,0.52,1.05,0.00,0.00,0.31,0.00,0.00,0.00,-121.78,10.37,,41.75,3.40,3.39,5.46,-2.87,2.38,5.57,5.52,,3.90,6.26,6.28,6.12,-0.69,,120.75,136.64,3.66,-5.21,131.26,-6.44,-7.64,-13.23,7204.00
Kandagiri Spinng,521242,,INE292D01019,Textiles & Apparels,Other Textile Products,40.85,15.73,,,-6.10,,,64.96,20.04,,-23.56,6.00,0.14,1.65,0.00,0.00,0.00,0.00,0.00,0.00,-767.06,3.21,20.65,7.83,16.01,16.01,4.29,-3.72,-3.77,-5.27,-18.04,,,-1.31,0.71,9.70,8.06,104.33,-16.89,-16.16,,,-16.78,4.40,-12.36,,2347.00
Kandarp Digi,,KANDARP,INE0MOT01016,Commercial Services & Supplies,Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO),146.85,131.77,63.97,6.46,5.87,0.20,8.57,58.77,28.93,84.15,22.69,7.00,0.89,4.75,0.00,0.00,0.00,0.00,0.00,0.00,127.80,,,,34.44,34.44,36.26,4.78,3.95,,13.16,-13.45,,12.37,12.37,10.34,11.07,,,,7.30,7.50,19.98,9.70,3.91,5.80,318.00
Kanishk Alumin.,544693,,INE163401016,,,42.95,57.72,18.27,,6.90,1.37,21.00,70.24,21.37,,,7.00,1.31,0.52,0.00,,0.00,,,,31.04,,,,14.95,14.95,14.95,,,,,,,14.11,14.11,14.11,14.11,,,,,20.89,,11.67,3.89,15.56,
Kanishk Steel,513456,,INE791E01018,Industrial Products,Iron & Steel Products,55.90,158.99,14.86,1.46,0.57,0.26,1.04,66.84,19.66,21.86,38.43,6.00,1.92,1.99,0.00,0.00,0.00,0.00,0.00,0.00,32.30,29.34,29.79,102.24,8.70,11.08,15.38,0.93,5.65,1.47,1.25,-23.10,6.67,11.60,12.06,12.04,4.54,16.66,20.80,30.02,8.47,1.70,34.33,5.52,1.42,2.68,7234.00
Kanoria Chem.,506525,KANORICHEM,INE138C01024,Industrial Manufacturing,Industrial Products,77.00,336.48,,0.63,-5.74,0.62,-11.82,74.40,29.38,,121.61,4.00,1.03,3.64,0.04,0.00,0.08,0.00,0.00,-0.07,4.59,102.90,179.36,597.29,53.36,45.63,46.60,-3.73,-1.92,4.48,4.51,,-2.32,1.47,1.38,1.55,-0.06,137.98,134.41,137.10,-3.30,-6.89,137.61,0.89,-3.87,-6.63,17555.00
Kanoria Energy,539620,,INE534E01020,Cement & Cement Products,Cement & Cement Products,16.52,140.92,,1.50,1.24,1.12,3.96,73.95,32.38,1798.62,11.00,4.00,1.03,2.35,0.00,0.00,0.00,0.00,0.00,0.00,33.87,54.59,,266.39,27.67,26.30,36.50,2.64,2.84,6.63,7.06,-10.50,7.05,9.57,10.84,11.41,11.11,5.71,7.05,8.45,9.17,8.30,10.40,11.54,2.78,9.19,6495.00
Kanpur Plastipa.,507779,KANPRPLA,INE694E01014,Industrial Products,Packaging,207.50,498.27,13.83,2.22,4.29,0.58,10.72,67.63,18.57,13.17,94.29,8.00,1.30,1.88,0.00,-0.03,1.11,0.14,1.11,0.00,15.38,66.37,63.38,259.96,16.54,12.17,36.95,1.92,4.37,8.13,7.23,22.46,11.31,13.88,10.95,11.20,7.17,31.90,73.25,83.40,9.67,4.85,83.87,4.74,0.07,0.18,8057.00
Kansai Nerolac,500165,KANSAINER,INE531A01024,Consumer Durables,Paints,207.90,16809.23,27.22,2.62,7.57,0.04,10.41,74.98,35.21,27.90,80.06,5.00,1.00,4.53,5.17,-0.44,10.41,0.38,-2.93,1.85,80.09,20880.97,11643.39,25208.34,48.28,50.91,34.21,8.23,8.11,13.80,12.43,-6.19,13.20,18.80,15.89,14.57,14.62,31.04,50.13,51.12,11.19,11.36,69.06,16.56,9.43,12.97,149919.00
Kanungo Financi.,540515,,INE453S01015,Finance,Other Financial Services,11.98,5.55,19.82,0.87,1.01,1.42,3.90,2.16,35.08,11.06,13.88,4.00,0.07,2.10,0.00,0.00,0.00,0.00,0.00,0.00,6264.35,6.13,,6.07,14.29,14.63,13.90,1.57,-3.82,-1.02,-3.20,23.60,-6.28,0.40,0.47,0.30,5.64,,10.77,11.59,-10.90,4.31,13.01,6.24,1.67,4.41,1583.00
Kapil Raj Financ,539679,,INE332Q01023,Finance,Non Banking Financial Company (NBFC),2.51,27.47,49.93,1.94,-0.07,0.00,-0.07,0.00,20.07,24.62,1.27,4.00,0.01,1.79,0.00,0.00,0.00,0.00,0.00,0.00,3200.71,2.11,,4.01,24.71,28.57,44.10,1.01,1.54,31.89,43.48,,1.35,2.60,1.22,2.23,1.39,,1.22,1.21,1.21,0.73,1.23,-0.17,-0.17,-0.17,20463.00
Kapston Services,,KAPSTON,INE542Z01028,Commercial Services & Supplies,Diversified Commercial Services,395.50,802.37,30.23,7.88,7.05,1.72,22.19,72.87,22.14,27.39,50.14,4.00,2.73,2.47,0.00,0.00,0.00,0.00,0.00,0.00,30.90,77.14,,104.40,28.37,26.26,28.16,5.51,4.70,5.42,4.65,-3.66,18.39,18.50,13.61,10.71,11.14,,25.07,26.37,14.70,17.59,35.26,12.66,6.51,19.30,4657.00
Karbonsteel Eng.,544511,,INE0V8A01016,Construction,Civil Construction,168.00,237.58,15.08,2.05,6.93,0.61,27.19,51.78,16.51,16.90,81.84,5.00,1.33,2.02,2.75,,4.27,,,,35.31,,,,14.11,14.11,14.11,5.67,,,11.83,,,22.80,22.80,22.80,26.18,,,,19.96,25.02,,27.47,5.89,25.98,
Karma Energy Ltd,533451,KARMAENG,INE725L01011,Power,Power Generation,46.00,53.22,5322.26,1.28,1.49,0.04,1.94,74.70,26.54,11.84,35.96,6.00,0.17,1.98,0.00,0.00,0.00,0.00,0.00,0.00,317.00,12.84,26.78,37.31,51.74,61.10,52.54,3.20,-0.32,21.33,12.41,39.77,-3.16,2.12,1.74,1.27,3.60,35.91,28.14,26.11,-4.09,4.78,33.22,2.44,3.39,4.65,11745.00
Karnataka Bank,532652,KTKBANK,INE614B01018,Banks,Private Sector Bank,204.45,7731.73,6.70,0.61,1.07,8.27,11.10,0.00,16.05,6.72,332.92,5.00,0.08,1.43,11.69,-2.91,15.84,-0.27,10.41,-8.06,394.61,1307.21,2870.53,1725.40,5.25,5.56,5.54,1.18,0.93,62.25,61.97,8.58,10.30,6.26,5.95,5.83,6.14,118.67,213.67,228.01,11.36,13.12,287.57,6.24,1.21,13.70,410790.00
Karnavati Financ,538928,,INE554R01020,Finance,Non Banking Financial Company (NBFC),1.41,14.17,,1.50,-6.67,6.31,-15.18,58.94,20.07,,0.94,5.00,0.06,1.79,0.00,0.00,0.00,0.00,0.00,0.00,-74.76,31.96,9.03,16.08,87.00,44.86,70.83,-3.32,-1.52,32.50,11.10,,0.18,4.45,2.59,1.44,1.10,0.92,1.26,1.29,-3.78,-7.52,1.19,0.07,-5.96,-13.10,9844.00
Karnawati Innovation,531671,,INE214D01021,Industrial Products,Packaging,1.20,6.48,3.43,21.90,5.67,0.00,13.51,0.00,18.57,0.96,0.05,6.00,0.35,1.88,0.00,0.00,0.00,0.00,0.00,0.00,140.69,4.86,5.40,4.86,81.33,81.33,81.33,9.27,5.33,,5.75,34.17,1.40,1.10,6.19,12.95,22.09,0.01,0.01,0.01,12.70,19.00,0.02,21.39,8.08,21.39,45991.00
Karnika Industri,,KARNIKA,INE0MGA01012,Textiles & Apparels,Garments & Apparels,125.00,774.97,38.49,9.16,12.19,0.78,26.96,73.39,26.66,29.99,13.66,6.00,1.24,2.68,0.00,0.00,0.00,0.00,,,89.64,,,,33.11,33.11,33.11,10.63,,,12.54,,,26.16,26.16,26.16,24.39,,,,30.86,30.22,8.57,21.08,9.28,28.43,921.00
Kartik Invest.,501151,,INE524U01019,Finance,Other Financial Services,1256.05,30.65,6.03,6.31,-0.59,0.00,-0.69,74.82,35.08,1.51,199.18,3.00,0.01,2.10,0.00,0.00,0.00,0.00,0.00,0.00,-161.64,14.80,6.84,14.64,6.03,393.26,6.03,-0.42,-0.58,-10.45,-42.86,-22.19,-0.24,-0.12,-0.36,-0.67,-0.49,47.13,134.02,138.93,-0.65,-0.49,183.20,-0.24,-0.20,-0.24,147.00
Karur Vysya Bank,590003,KARURVYSYA,INE036D01028,Banks,Private Sector Bank,321.60,31082.87,13.47,2.43,1.73,8.83,17.65,2.11,16.05,11.40,132.40,8.00,0.09,1.43,16.87,1.06,40.20,0.23,9.47,-0.16,17.80,1614.33,7194.29,3703.68,9.69,10.76,9.85,1.55,1.21,58.34,58.63,36.45,10.90,6.37,5.95,6.03,6.63,48.75,72.56,79.13,13.37,16.36,104.02,6.89,1.63,17.17,264784.00
Kashyap TeleMed.,531960,,INE108B01029,IT - Services,IT Enabled Services,5.89,28.11,,51.11,0.00,0.00,0.00,61.93,26.90,,0.12,4.00,0.28,3.10,0.00,0.00,0.06,0.00,0.00,0.00,-48.03,3.25,3.25,3.25,,,,-1.46,-2.22,2.19,-13.40,,0.00,-0.50,-1.94,-3.79,-4.58,0.48,0.50,0.14,-2.21,-1.53,0.13,-4.58,-4.38,-4.58,8134.00
Kasturi Metal,544688,,INE0T1301023,,,64.00,66.53,29.44,,6.00,0.71,13.64,67.90,21.37,13.95,,5.00,1.65,0.52,0.00,,12.54,,,,21.04,,,,25.04,25.04,25.04,,,,,,,16.34,16.34,16.34,16.34,,,,,,,,,18.31,
Katare Spinning,502933,,INE498G01015,Textiles & Apparels,Other Textile Products,103.80,29.59,,0.25,-1.46,0.03,-1.52,49.62,20.04,,403.40,6.00,0.04,1.65,0.00,0.00,0.28,0.00,0.00,0.00,-19.26,3.29,6.38,129.42,12.67,11.68,11.53,-1.73,-2.20,-3.38,-19.19,14.59,-3.68,0.34,0.23,-0.46,-1.61,36.32,3.37,438.81,-2.03,-1.80,412.60,-1.51,-1.59,-1.65,1997.00
Kataria Indust.,,KATARIA,INE0SVY01018,Industrial Manufacturing,Industrial Products,103.50,222.84,22.29,1.97,8.21,0.02,13.62,74.98,29.38,25.52,52.70,6.00,2.74,3.64,0.05,-3.96,0.00,0.00,,,33.45,,,,22.48,22.48,22.48,6.92,,,7.26,,,15.28,15.28,15.28,14.92,,,,19.96,18.49,,18.28,7.49,24.94,1616.00
Kati patang Life,531126,,INE237C01016,Beverages,Breweries & Distilleries,23.85,96.13,,4.83,-14.75,0.58,,39.19,35.44,,4.95,4.00,0.40,2.77,0.00,0.00,0.01,0.00,-0.48,0.00,-65.43,2.49,7.02,5.56,,,,-14.76,-14.29,-66.36,-66.39,,,-21.98,-19.47,-17.61,-18.86,-5.92,-13.33,-14.61,,,-17.92,-12.24,-10.69,,4009.00
Kaushalya,,KLL,INE0Q2V01012,Retailing,E-Retail/ E-Commerce,45.00,83.38,6.67,1.24,5.48,1.06,21.33,73.65,44.00,6.09,36.28,3.00,5.78,6.67,0.00,0.00,0.00,0.00,,,15.29,,,,8.87,8.87,8.87,5.36,6.55,,0.81,-8.93,,19.82,19.82,19.82,19.26,,,,25.96,24.48,26.22,20.19,5.67,26.03,1475.00
Kaushalya Infra.,532925,KAUSHALYA,INE234I01028,Leisure Services,Hotels & Resorts,848.00,29.36,20.82,0.38,6.94,0.00,7.19,51.42,32.50,,2232.75,5.00,0.00,2.95,0.00,0.00,0.00,0.00,0.00,0.00,-17466.85,1.20,21.30,10.65,2.31,2.31,2.25,16.45,9.55,-1902.98,-224.64,20.85,-1.37,1.93,10.17,11.61,17.83,1002.33,1308.67,1334.67,13.68,19.99,2077.68,24.59,20.54,24.84,12938.00
Kaveri Seed Co.,532899,KSCL,INE455I01029,Agricultural Food & other Products,Other Agricultural Products,894.00,4598.67,15.30,2.57,11.11,0.00,19.04,60.50,23.14,88.89,349.07,4.00,0.51,2.48,19.95,-0.41,2.78,-0.09,-4.08,3.50,100.48,2062.65,6785.24,3190.20,14.54,15.15,15.48,11.69,12.21,24.87,24.53,-3.23,19.02,20.11,20.64,20.25,19.65,134.27,206.27,219.60,19.09,18.54,239.64,21.76,12.92,20.29,58095.00
Kavveri Defence,590041,KAVDEFENCE,INE641C01019,Telecom -  Equipment & Accessories,Telecom -  Equipment & Accessories,82.83,284.72,38.24,3.21,6.14,0.07,9.58,15.40,46.91,138.37,25.71,7.00,0.16,3.34,4.73,0.03,0.01,0.00,-6.48,-9.26,-927.19,3.32,26.26,20.22,1.56,1.56,1.56,8.04,2.50,-176.72,-665.63,16.49,-24.06,1.09,3.79,5.82,10.43,38.97,14.26,6.15,2.57,26.50,23.37,-2.11,-1.31,-2.18,30908.00
Kay Cee,,KCEIL,INE0RCG01017,Construction,Civil Construction,138.20,168.94,7.95,1.81,12.27,0.59,32.11,63.13,16.51,9.04,76.43,4.00,1.10,2.02,0.00,-0.81,2.32,-9.48,,,148.75,,,,22.05,22.05,22.05,9.22,,,15.60,,,26.81,26.81,26.81,27.69,,,,25.80,27.98,40.72,22.57,7.33,20.24,1939.00
Kay Power &Paper,530255,,INE961B01013,"Paper, Forest & Jute Products",Paper & Paper Products,10.00,34.95,32.37,0.44,2.30,0.06,4.19,51.00,20.27,423.62,22.99,2.00,0.80,0.82,0.00,0.00,0.00,0.00,0.00,0.00,-22.12,1.35,5.43,5.86,27.03,9.88,28.10,3.35,2.14,1.46,0.93,15.09,,12.67,2.99,2.79,4.33,6.72,0.43,0.53,13.19,13.11,3.26,4.78,3.71,54.88,7284.00
Kaya Ltd,539276,KAYA,INE587G01015,Leisure Services,Wellness,336.85,511.60,,,30.90,,,51.43,,,-60.86,6.00,0.82,4.27,0.63,0.00,2.79,0.26,1.41,-0.10,-243.54,152.33,,457.64,6.81,129.75,6.81,-13.59,-13.87,2.48,0.79,,,-16.80,-21.53,-27.84,-36.06,194.85,41.70,-1.19,,,-173.59,-62.14,-39.60,,18724.00
Kaycee Inds.,504084,,INE813G01023,Electrical Equipment,Other Electrical Equipment,1105.00,350.69,58.42,11.20,15.59,0.11,22.25,71.70,26.60,59.40,98.60,6.00,1.40,4.54,0.00,0.00,0.02,0.00,-0.07,0.00,91.93,15.33,8.55,22.19,25.81,21.60,53.67,14.46,11.16,9.34,12.24,14.58,13.12,15.29,19.19,20.86,26.75,38.83,49.47,55.23,17.00,20.84,79.43,26.08,14.03,20.55,11014.00
Kaynes Tech,543664,KAYNES,INE918Z01012,Industrial Manufacturing,Industrial Products,4141.10,27759.72,71.18,5.91,7.24,0.19,10.74,53.46,29.38,84.81,698.22,2.00,0.69,3.64,8.87,-1.84,16.73,-6.93,5.30,0.34,55.06,,,,117.63,117.63,119.49,8.10,6.95,,14.46,0.80,,17.22,17.22,17.77,16.78,,,,11.67,11.33,389.07,14.53,7.75,10.53,219405.00
Kaytex Fabrics,,KAYTEX,INE13ZD01013,Textiles & Apparels,Garments & Apparels,57.75,84.89,4.76,0.79,15.31,0.40,40.49,73.61,26.66,4.94,73.26,5.00,1.36,2.68,3.61,,3.78,,,,85.74,,,,5.92,5.92,5.92,12.32,9.48,,15.74,9.50,,25.09,25.09,25.09,30.59,,,,34.30,38.61,,32.64,13.39,41.36,
KBS India,530357,,INE883D01023,Finance,Other Financial Services,1.54,16.66,66.65,0.48,0.50,0.00,0.55,28.77,35.08,,3.21,7.00,0.08,2.10,5.69,0.00,0.00,0.00,0.00,5.69,688.45,3.66,6.30,10.74,74.00,47.00,234.12,0.42,0.59,-21.96,-10.65,14.11,0.56,1.12,1.07,1.12,0.88,2.86,2.89,2.94,0.61,0.45,2.98,0.51,0.20,0.22,13552.00
KCD Industries,540696,,INE185U01035,Commercial Services & Supplies,Trading & Distributors,6.70,16.97,141.21,0.41,0.38,0.08,0.51,0.00,30.74,48.06,16.09,5.00,0.05,2.55,0.00,0.00,0.00,0.00,0.00,0.00,1965.88,59.09,,34.08,50.27,57.04,25.58,10.32,6.58,7.35,9.78,-31.52,5.18,7.75,10.89,13.76,19.54,,0.87,0.92,5.98,6.37,16.67,16.06,7.54,10.88,20293.00
KCK Industries,,KCK,INE0J1E01027,Agricultural Food & other Products,Other Agricultural Products,23.00,146.28,270.90,5.21,1.49,0.09,2.90,25.36,23.14,2316.17,4.43,5.00,0.72,2.48,0.00,0.00,0.00,0.00,0.00,0.00,104.25,,,,111.11,111.11,118.86,2.27,2.15,,4.49,-26.56,8.92,8.26,10.64,8.65,8.55,,,,8.63,7.26,4.80,9.94,2.83,9.59,255.00
KCL Infra,531784,,INE469F01026,Construction,Civil Construction,1.29,21.79,36.32,0.39,0.77,0.06,0.95,22.88,16.51,,3.29,6.00,0.18,2.02,0.00,0.00,0.00,0.00,0.00,0.00,978.39,9.74,125.86,40.02,40.62,40.75,34.50,1.30,1.08,-3.52,-5.10,-18.55,1.55,3.51,3.80,3.56,3.43,0.70,0.73,0.75,1.62,1.65,3.24,3.52,1.49,1.84,33271.00
KCP Sugar &Inds.,533192,KCPSUGIND,INE790B01024,Agricultural Food & other Products,Sugar,23.36,264.88,,0.56,1.37,0.13,1.99,40.97,9.37,157.66,41.34,6.00,0.48,0.78,0.01,-0.01,0.00,0.00,0.00,-0.32,93.14,148.53,208.63,284.03,8.45,10.12,6.86,4.01,3.18,3.96,3.18,23.90,5.79,7.59,6.80,7.00,7.89,21.17,27.63,27.81,5.64,6.45,38.69,13.83,8.79,14.02,60229.00
KDDL Ltd,532054,KDDL,INE291D01011,Consumer Durables,"Gems, Jewellery And Watches",2517.90,3096.86,33.43,2.97,7.66,0.45,11.51,50.43,23.24,40.90,851.09,3.00,0.88,3.03,8.38,0.08,1.83,0.12,-0.30,-4.22,90.03,146.96,304.32,1230.53,34.61,34.38,34.82,8.54,6.45,13.76,15.80,106.59,11.87,13.44,14.32,14.95,16.97,74.45,146.47,198.24,13.23,14.14,585.42,18.65,9.81,17.20,45717.00
