Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Market Capitalization,Price to Earning,Price to book value,Return on assets,Debt to equity,Return on equity,Promoter holding,Industry PE,Price to Quarterly Earning,Book value,Piotroski score,Asset Turnover Ratio,Industry PBV,FII holding,Change in FII holding,DII holding,Change in DII holding,Change in DII holding 3Years,Change in FII holding 3Years,Average Working Capital Days 3years,Market Capitalization 5years back,Market Capitalization 10years back,Market Capitalization 3years back,Historical PE 5Years,Historical PE 10Years,Historical PE 3Years,Return on assets 3years,Return on assets 5years,OPM 10Year,OPM 5Year,Return on equity 5years growth,Average return on equity 10Years,Average return on capital employed 10Years,Average return on capital employed 7Years,Average return on capital employed 5Years,Average return on capital employed 3Years,Book value 10years back,Book value 5years back,Book value 3years back,Average return on equity 5Years,Average return on equity 3Years,Book value preceding year,Return on capital employed preceding year,Return on assets preceding year,Return on equity preceding year,Number of Shareholders preceding quarter
Guj Inds. Power,517300,GIPCL,INE162A01010,Power,Power Generation,151.90,2357.69,12.59,0.67,3.31,0.79,6.19,56.57,26.54,27.75,227.81,4.00,0.20,1.98,2.63,-1.06,4.96,-0.20,-1.85,-0.28,60.70,754.74,1299.25,1110.94,9.69,7.30,13.86,3.88,4.02,33.16,31.31,-7.86,8.00,10.73,9.50,7.86,7.38,134.43,188.76,201.28,6.13,6.14,218.54,7.66,4.09,6.15,93707.00
Guj Pipavav Port,533248,GPPL,INE517F01014,Transport Infrastructure,Port & Port services,177.90,8600.39,19.48,3.93,14.85,0.02,18.96,44.01,24.27,21.22,44.97,9.00,0.37,5.34,21.04,1.22,14.93,-0.80,-6.61,-1.32,-87.78,2912.73,11701.66,3693.48,20.22,21.85,19.62,13.98,11.76,57.71,56.94,5.89,13.12,18.39,19.23,20.22,23.45,41.30,42.04,42.04,14.76,17.79,43.29,24.80,14.71,18.81,246649.00
Guj. Ambuja Exp,524226,GAEL,INE036B01030,Agricultural Food & other Products,Other Agricultural Products,134.30,6159.95,30.16,1.98,7.18,0.09,8.59,63.84,23.14,22.46,67.44,4.00,1.34,2.48,1.60,-0.44,0.57,-0.03,0.41,-3.37,51.91,1201.07,482.56,5967.69,17.19,18.54,19.74,9.93,13.30,,10.67,-5.48,,19.18,20.84,20.84,15.31,16.56,36.12,46.18,15.59,11.89,60.37,16.48,11.01,13.25,134837.00
Guj. Containers,513507,,INE276I01011,Industrial Products,Packaging,169.50,95.77,14.29,1.80,10.65,0.38,17.41,59.66,18.57,11.91,94.37,5.00,1.96,1.88,0.00,0.00,0.00,0.00,0.00,0.00,36.03,4.81,4.72,69.83,9.88,9.41,10.77,13.96,13.16,9.76,10.99,26.59,22.06,18.27,20.46,24.20,23.90,17.03,25.79,41.96,27.15,24.39,77.38,22.66,13.04,22.88,9547.00
Guj. Craft Inds,526965,,INE372D01019,Industrial Products,Packaging,119.95,58.64,23.09,0.92,1.81,1.06,4.35,73.83,18.57,26.42,130.80,6.00,1.37,1.88,0.12,0.00,0.00,0.00,0.00,0.12,51.27,13.00,7.41,71.59,11.54,10.57,20.69,2.44,3.73,6.30,6.46,-5.94,6.88,9.41,9.37,9.60,7.68,32.42,83.83,111.55,7.68,5.17,122.89,7.74,2.37,5.05,5889.00
Guj. Credit Corp,511441,,INE034B01019,Finance,Other Financial Services,22.01,55.03,,4.36,-2.67,1.36,-6.47,31.61,35.08,,5.05,4.00,0.00,2.10,0.00,0.00,0.00,0.00,0.00,0.00,0.00,26.12,47.50,125.50,56.07,59.40,64.62,-0.97,0.27,,,,,0.17,0.17,-0.05,-0.28,,4.98,5.58,0.54,-2.30,5.56,0.06,-0.34,-0.79,8703.00
Guj. Inject(Ker),524238,,INE659F01014,Pharmaceuticals & Biotechnology,Pharmaceuticals,55.00,80.57,191.84,7.94,9.88,0.00,11.00,0.00,29.56,285.14,6.93,4.00,1.85,3.22,0.00,0.00,0.00,0.00,0.00,0.00,-413.69,,,,36.16,36.16,36.16,11.10,-140.01,,2.32,,,8.06,8.06,8.06,8.06,,,,,,7.55,2.65,1.78,2.08,8151.00
Guj. Lease Fin.,500174,GLFL,INE540A01017,Finance,Other Financial Services,5.96,16.15,404.16,,0.95,,,45.67,35.08,118.67,-1.51,5.00,0.07,2.10,0.00,0.00,0.01,0.00,0.00,-0.01,-301.56,3.80,5.78,8.27,220.00,200.00,210.75,1.85,-0.61,-122.91,-24.48,,,-1.94,-0.86,-0.62,1.97,-10.91,-1.60,-1.63,,,-1.52,1.55,1.45,,29791.00
Guj. Petrosynth.,506858,,INE636P01011,Chemicals & Petrochemicals,Petrochemicals,59.00,35.21,14.57,0.70,2.77,0.00,2.93,52.37,15.98,8.51,85.17,5.00,0.33,1.63,1.01,0.00,7.95,0.00,-4.97,0.00,237.81,3.34,8.63,24.29,21.40,21.89,23.27,2.97,2.60,-5.49,-2.49,22.45,-0.24,-2.17,0.75,3.13,3.84,34.54,45.40,76.09,3.04,3.15,81.18,2.73,3.28,3.46,19308.00
Guj. Raffia Inds,523836,GUJRAFFIA,INE610B01024,Industrial Products,Packaging,41.70,22.53,31.74,1.05,2.02,0.10,2.49,39.60,18.57,28.55,40.15,8.00,1.17,1.88,0.00,0.00,0.00,0.00,0.00,0.00,63.10,4.11,2.91,18.92,32.64,16.42,36.73,2.04,2.81,6.52,5.35,4.60,4.58,6.26,5.53,5.58,4.97,24.95,33.25,35.32,4.11,3.05,38.21,4.05,1.75,2.65,29655.00
Guj. State Fin.,532160,,INE944A01011,Finance,Financial Institution,11.60,103.37,,,-58.81,,,83.95,19.29,,-350.55,5.00,0.07,2.35,0.00,0.00,1.13,-0.25,-0.31,0.00,-65952.73,12.30,25.40,80.74,,,,-62.17,-66.23,52.59,69.36,,,0.00,0.00,0.00,0.00,-221.36,-287.34,-301.68,,,-329.35,,-60.12,,23044.00
Guj. Terce Labs.,524314,,INE499G01013,Pharmaceuticals & Biotechnology,Pharmaceuticals,42.00,31.15,,3.98,-4.30,0.08,-14.57,40.03,29.56,10.31,10.57,6.00,2.18,3.22,0.00,0.00,0.00,0.00,0.00,0.00,-13.93,4.70,4.76,19.40,29.23,21.97,31.11,-3.11,-3.27,0.91,0.72,,-4.01,4.64,5.81,5.90,12.11,13.96,10.32,11.50,-9.99,-11.27,9.58,9.72,0.93,3.44,13812.00
Guj. Themis Bio.,506879,GUJTHEM,INE942C01045,Pharmaceuticals & Biotechnology,Pharmaceuticals,331.30,3610.00,75.54,13.65,18.67,0.27,21.69,70.86,29.56,74.00,24.27,4.00,0.58,3.22,1.96,-0.99,1.17,0.00,1.14,1.95,62.30,141.26,55.04,592.20,22.33,16.40,57.15,29.78,34.07,41.63,47.49,-22.17,38.51,57.35,56.54,53.42,44.47,0.35,6.42,9.48,35.82,31.52,18.47,44.99,30.54,33.76,28319.00
Guj. Toolroom,513337,,INE145J01032,Industrial Products,Plastic Products - Industrial,0.67,93.29,15.18,0.27,6.77,0.20,26.00,0.00,22.59,,2.37,3.00,1.15,2.63,0.00,0.00,0.07,0.00,-0.21,0.00,375.27,0.53,3.07,1.76,2.22,2.22,2.22,,,,,,,101.52,101.52,101.52,101.52,,,,,50.60,1.14,179.08,29.30,170.13,227637.00
Guj.Nat.Resour.,513536,,INE207H01018,Oil,Oil Exploration & Production,105.05,1348.86,848.32,7.43,-2.26,0.05,-2.87,2.31,18.87,86.40,14.11,3.00,0.12,2.51,0.87,-0.32,0.00,0.00,0.00,0.86,954.88,63.54,442.43,219.31,784.67,390.86,784.67,-2.41,-2.56,15.56,9.57,-5.36,-2.67,-0.91,-1.52,-1.49,-0.81,14.47,11.76,9.19,-3.50,-3.28,8.50,-1.12,-2.41,-3.49,15656.00
Guj.St.Petronet,532702,GSPL,INE246F01010,Gas,Gas Transmission/Marketing,314.55,17747.28,16.89,1.47,8.22,0.01,9.89,37.63,16.80,17.21,211.64,6.00,0.87,1.48,15.49,0.02,25.08,-0.13,0.81,-1.79,-13.03,9727.93,6983.77,14615.90,10.42,12.58,12.73,11.45,13.10,22.97,20.42,-25.22,19.75,23.17,25.35,24.49,21.06,70.76,113.27,140.35,17.81,14.57,191.86,21.46,11.78,16.06,195924.00
Gujarat Alkalies,530001,GUJALKALI,INE186A01019,Chemicals & Petrochemicals,Commodity Chemicals,476.25,3497.56,,0.63,-0.83,0.11,-1.13,46.28,17.50,,758.53,6.00,0.51,1.20,0.96,-0.06,4.75,0.23,3.30,-1.11,0.43,1637.64,1174.26,6583.99,17.90,12.11,32.74,0.43,2.25,18.92,14.00,,6.16,9.91,8.51,4.96,2.21,398.69,731.87,803.32,2.91,0.59,827.31,-3.83,-2.89,-3.88,70371.00
Gujarat Cotex,514386,,INE004C01028,Textiles & Apparels,Other Textile Products,9.23,13.16,22.32,1.74,0.98,0.12,3.26,11.46,20.04,66.60,5.36,5.00,1.22,1.65,0.00,0.00,0.00,0.00,0.00,0.00,72.34,2.46,4.15,5.09,28.33,27.53,42.42,0.77,1.77,1.21,1.38,26.00,3.19,3.35,4.83,4.00,2.46,4.87,4.12,4.52,3.86,2.08,4.66,3.52,1.33,2.90,34489.00
Gujarat Fluoroch,542812,FLUOROCHEM,INE09N301011,Chemicals & Petrochemicals,Specialty Chemicals,3485.05,38283.28,56.29,5.02,5.51,0.23,8.29,61.40,28.86,53.22,693.40,8.00,0.48,2.77,4.31,-0.05,12.81,0.08,8.56,-1.44,73.10,3141.71,,30126.91,48.88,45.75,60.50,9.28,7.21,,26.97,7.33,,14.52,14.52,16.20,16.42,,317.96,387.36,11.62,13.44,540.40,9.76,5.00,7.69,66493.00
Gujarat Gas,539336,GUJGASLTD,INE844O01030,Gas,LPG/CNG/PNG/LNG Supplier,430.30,29621.40,25.53,3.38,9.49,0.02,14.25,60.89,19.64,27.49,126.36,6.00,1.35,2.02,3.82,0.12,15.06,0.09,2.51,-1.35,-25.30,15891.49,,34643.23,27.62,29.07,25.80,11.39,12.79,14.00,13.87,-19.99,21.46,22.57,26.27,27.19,23.72,22.13,65.04,81.78,20.68,17.38,112.18,20.43,9.77,14.97,169570.00
Gujarat Hotels,507960,,INE621C01011,Leisure Services,Hotels & Resorts,198.00,75.04,13.03,1.51,10.77,0.00,11.44,53.70,32.50,12.65,131.88,8.00,0.08,2.95,0.00,0.00,0.00,0.00,0.00,0.00,109.89,31.70,54.54,52.67,17.16,14.04,15.89,10.59,9.02,87.52,86.17,-3.13,11.17,14.47,13.40,11.81,14.11,63.71,91.46,96.84,9.80,11.25,116.54,13.88,10.57,11.20,5135.00
Gujarat Hy-Spin,540938,,INE578V01013,Textiles & Apparels,Other Textile Products,12.00,20.10,223.33,1.07,0.29,0.49,0.52,64.89,20.04,,11.23,7.00,2.69,1.65,0.00,-1.43,0.00,0.00,0.00,-0.66,25.97,4.24,,16.50,122.00,150.00,145.00,-0.24,0.04,6.30,1.74,-15.51,0.50,5.49,5.47,4.94,3.51,,11.40,11.58,0.14,-0.47,11.35,4.31,0.49,0.90,212.00
Gujarat Intrux,517372,,INE877E01015,Industrial Products,Castings & Forgings,447.75,153.82,14.10,2.26,14.90,0.00,16.56,58.61,25.73,10.29,197.57,8.00,0.91,3.47,0.00,0.00,0.00,0.00,0.00,0.00,143.52,23.70,32.65,42.49,14.35,12.75,15.15,11.80,9.58,14.70,17.25,10.12,9.19,11.94,14.32,14.42,17.61,106.45,149.51,155.39,10.90,13.22,180.48,16.97,11.10,12.34,5134.00
Gujarat Kidney,544666,GKSL,INE0V0W01025,Healthcare Services,Hospital,113.95,898.40,95.52,,25.05,0.32,51.22,71.45,45.46,,,7.00,1.06,5.60,10.47,,1.67,,,,38.06,,,,62.24,62.24,62.24,,,,,,,35.39,35.39,35.39,35.39,,,,,43.49,,19.26,9.68,21.13,
Gujarat Peanut,544548,,INE0SIK01014,Food Products,Other Food Products,83.00,85.17,13.83,,6.69,0.84,44.36,71.00,24.11,13.39,,6.00,3.63,2.91,0.00,0.00,0.00,0.00,,,19.21,,,,9.64,9.64,9.64,5.67,,,1.72,,,15.10,15.10,15.10,17.83,,,,31.23,40.11,,19.88,7.72,49.02,752.00
Gujarat Poly,517288,,INE541F01022,Electrical Equipment,Other Electrical Equipment,68.00,58.14,2.04,4.02,9.70,0.70,20.84,52.09,26.60,0.60,16.92,6.00,0.81,4.54,0.00,0.00,0.02,0.00,0.00,0.00,-69.35,4.05,6.50,26.21,16.82,16.75,21.28,9.32,10.07,11.35,9.02,,,36.08,41.48,41.48,11.83,-8.99,0.44,2.30,,23.97,10.83,10.20,10.64,26.34,24483.00
Gujarat Winding,541627,,INE173V01013,"Paper, Forest & Jute Products",Paper & Paper Products,7.85,3.81,,0.98,1.41,0.00,1.44,9.17,20.27,,7.99,5.00,0.00,0.82,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.13,,1.55,251.25,30.65,,0.47,0.33,,,-8.15,0.79,1.16,1.65,0.80,1.08,,8.52,8.52,0.34,0.48,8.52,0.24,0.00,0.00,3155.00
Gulf Oil Lubric.,538567,GULFOILLUB,INE635Q01029,Petroleum Products,Lubricants,1184.70,5852.47,15.89,3.54,14.20,0.29,25.46,67.11,15.09,15.77,335.28,6.00,1.44,1.39,9.22,-0.31,8.13,0.68,1.10,5.81,11.33,2579.19,2528.94,2130.81,14.45,18.78,15.78,13.33,13.33,14.30,13.03,-3.27,26.93,31.30,27.59,25.53,26.28,50.13,172.80,206.77,23.60,23.82,263.33,27.21,13.98,24.73,82277.00
Gulshan Polyols,532457,GULPOLY,INE255D01024,Agricultural Food & other Products,Other Agricultural Products,163.40,1019.11,23.94,1.57,1.90,0.71,3.91,66.80,23.14,14.40,102.67,8.00,1.63,2.48,0.00,0.00,0.00,-0.07,-3.52,-0.33,23.16,99.93,294.84,1714.31,42.72,42.72,42.72,2.59,,,,,,5.97,5.97,5.97,5.97,,,90.44,,4.43,94.65,2.98,0.96,1.77,36933.00
Gurunanak Agri.,,GURUNANAK,INE1CCX01012,"Agricultural, Commercial & Construction Vehicles",Tractors,30.00,36.00,7.55,,29.04,0.25,66.20,68.00,32.84,9.22,,7.00,2.08,3.60,0.00,,0.00,,,,5.77,,,,4.48,4.48,4.48,14.76,,,,,,35.27,35.27,35.27,35.27,,,,,51.74,,33.48,12.20,49.05,
