Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Debt,Reserves,Balance sheet total,Net block,Gross block,Current assets,Current liabilities,Contingent liabilities,Total Assets,Working capital,Face value,Cash Equivalents,Trade Payables,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization
Kaycee Inds.,504084,,INE813G01023,Electrical Equipment,Other Electrical Equipment,1105.00,3.38,28.12,44.03,7.40,14.53,27.96,9.44,0.00,44.03,18.52,10.00,3.00,7.30,0.51,19.36,7.89,13.97,13.96,11.08,8.18,0.00,0.35,3.76,2.81,2.98,2.28,350.69
Kaynes Tech,543664,KAYNES,INE918Z01012,Industrial Manufacturing,Industrial Products,4141.05,885.37,4613.49,6733.34,1654.74,1003.72,3534.74,1689.72,520.69,6733.34,1845.02,10.00,1052.71,837.10,322.55,1850.45,319.21,413.54,124.22,45.02,,189.46,153.21,,113.34,65.72,,27759.39
Kaytex Fabrics,,KAYTEX,INE13ZD01013,Textiles & Apparels,Garments & Apparels,57.75,42.87,92.99,186.67,28.05,50.88,154.96,61.54,0.26,186.67,93.42,10.00,33.83,20.26,35.51,32.37,22.30,41.32,16.99,6.15,,21.58,13.83,,11.08,10.07,,84.89
KBS India,530357,,INE883D01023,Finance,Other Financial Services,1.54,0.00,23.89,36.59,0.30,1.82,14.16,1.88,0.00,36.59,12.28,1.00,1.00,1.38,1.22,10.01,0.22,1.69,2.54,0.69,3.92,0.50,0.55,0.69,0.02,0.35,1.28,16.66
KCD Industries,540696,,INE185U01035,Commercial Services & Supplies,Trading & Distributors,6.70,3.37,38.17,51.52,0.11,0.39,15.06,10.81,0.00,51.52,4.25,1.00,0.14,6.04,0.00,34.87,0.13,0.39,3.42,3.17,3.01,0.00,0.00,0.00,0.01,0.04,0.01,16.97
KCK Industries,,KCK,INE0J1E01027,Agricultural Food & other Products,Other Agricultural Products,22.50,2.52,15.44,38.53,0.90,13.84,34.99,7.36,0.00,38.53,27.63,2.00,0.39,4.80,23.05,16.31,12.33,13.84,-0.85,1.72,-0.10,18.38,1.30,0.28,9.60,0.77,0.58,143.10
KCL Infra,531784,,INE469F01026,Construction,Civil Construction,1.29,3.54,21.72,74.63,0.33,1.10,29.54,14.25,0.01,74.63,15.29,2.00,0.46,11.27,3.72,47.16,0.37,1.05,2.26,6.06,1.83,3.69,3.75,2.33,0.52,0.67,0.42,21.79
KCP Sugar &Inds.,533192,KCPSUGIND,INE790B01024,Agricultural Food & other Products,Sugar,23.36,61.09,457.45,586.61,101.14,149.45,264.90,31.57,31.06,586.61,233.33,1.00,46.39,3.55,146.67,125.81,100.50,150.58,113.91,136.72,142.26,189.56,265.24,99.00,91.54,91.84,100.39,264.88
KDDL Ltd,532054,KDDL,INE291D01011,Consumer Durables,"Gems, Jewellery And Watches",2517.90,466.82,1034.39,2653.93,686.71,748.90,1855.89,422.91,25.03,2653.93,1432.98,10.00,879.98,197.19,250.23,847.31,349.89,470.26,179.22,103.27,31.72,265.08,289.78,122.06,266.77,268.98,84.45,3096.86
KEC International,532714,KEC,INE389H01022,Construction,Civil Construction,619.45,5308.03,5589.65,23612.77,1751.86,3290.01,20658.62,17311.60,905.59,23612.77,3347.02,2.00,412.77,8504.92,3960.99,1624.15,1628.27,3127.08,1574.01,1274.96,360.41,3064.61,2518.94,2214.10,1537.65,1351.78,1112.20,16489.77
Keerthi Indus,518011,,INE145L01012,Cement & Cement Products,Cement & Cement Products,56.89,55.42,24.89,164.36,86.26,292.42,54.55,86.72,23.29,164.36,-32.17,10.00,0.80,43.48,60.59,-23.07,114.44,293.67,7.68,-47.34,-25.86,30.32,55.62,82.00,86.20,99.75,113.59,45.63
KEI Industries,517569,KEI,INE878B01027,Industrial Products,Cables - Electricals,4611.20,235.06,6168.93,8007.95,1128.26,1419.46,5665.94,1626.39,561.07,8007.95,4039.55,2.00,1559.44,1077.22,166.23,2266.37,770.35,1129.82,1628.41,1033.26,141.01,355.38,366.65,452.50,530.91,553.62,406.98,44083.39
Kellton Tech,519602,KELLTONTEC,INE164B01030,IT - Services,IT Enabled Services,17.57,130.10,664.42,937.90,64.08,180.93,783.92,180.46,0.00,937.90,603.46,1.00,67.29,21.41,155.99,394.66,69.38,168.43,306.17,206.77,4.94,122.31,131.71,25.70,198.99,277.79,227.57,927.38
Keltech Energies,506528,,INE881E01017,Chemicals & Petrochemicals,Explosives,3568.00,45.05,137.63,313.12,66.41,117.32,175.44,147.34,58.71,313.12,28.10,10.00,23.75,89.07,25.08,14.92,71.29,114.53,5.57,10.46,-0.69,30.61,22.60,17.68,69.66,54.31,55.58,356.80
Kemistar Corp.,531163,,INE971L01029,Chemicals & Petrochemicals,Specialty Chemicals,76.00,8.77,7.80,30.85,22.63,16.91,6.93,7.12,0.00,30.85,-0.19,10.00,0.45,3.19,6.92,1.40,14.18,16.48,2.66,1.57,,3.12,2.17,,14.85,14.23,,81.76
Kemp & Co.,506530,,INE060E01018,Commercial Services & Supplies,Diversified Commercial Services,950.00,0.00,167.09,174.95,1.94,3.68,1.76,0.91,2.00,174.95,0.85,10.00,0.12,0.39,0.00,1.06,2.05,3.66,1.52,8.44,0.40,0.00,0.00,0.00,2.36,2.86,3.35,102.60
Ken Enter.,,KEN,INE15DO01012,Textiles & Apparels,Other Textile Products,41.65,43.66,92.53,362.58,10.13,31.51,352.04,238.77,0.00,362.58,113.27,10.00,33.53,195.73,47.84,40.13,8.71,30.18,27.36,20.57,,41.00,36.76,,8.59,11.69,,102.31
KEN Fin.Serv.,530547,,INE395E01018,Finance,Non Banking Financial Company (NBFC),11.85,0.27,4.45,7.94,0.00,0.00,0.52,0.20,7.14,7.94,0.32,10.00,0.07,0.17,2.16,1.32,0.00,0.00,0.33,-12.70,0.21,19.78,11.34,0.23,0.02,0.02,0.02,3.56
Kennametal India,505890,KENNAMET,INE717A01029,Industrial Manufacturing,Industrial Products,2100.05,2.10,780.20,1030.30,274.10,533.00,730.10,225.70,4.90,1030.30,504.40,10.00,179.40,114.70,3.00,417.10,294.00,519.60,302.70,210.70,217.87,0.00,13.00,0.00,214.60,246.60,154.00,4615.54
Kenrik Indust.,544398,,INE0AOG01018,Consumer Durables,"Gems, Jewellery And Watches",9.70,0.12,10.23,23.52,0.05,0.26,23.24,0.80,0.00,23.52,22.44,10.00,0.12,0.08,0.78,12.10,0.06,0.27,11.12,5.47,,0.16,0.11,,0.10,0.13,,12.12
Kenvi Jewels,540953,,INE923Y01023,Consumer Durables,"Gems, Jewellery And Watches",2.51,9.94,3.15,26.12,0.28,0.86,25.76,10.33,0.00,26.12,15.43,1.00,0.24,0.14,8.36,13.96,0.34,0.86,12.82,12.21,,0.39,0.64,,0.29,0.24,0.18,31.72
Kerala Ayurveda,530163,,INE817B01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,246.00,84.55,-6.60,135.46,48.65,77.38,48.62,103.56,0.00,135.46,-54.94,10.00,4.91,9.70,76.06,-28.16,40.82,66.59,-23.21,2.38,-11.61,69.94,64.16,70.02,44.03,33.41,32.45,296.67
Kernex Microsys.,532686,KERNEX,INE202H01019,Transport Services,Transport Related Services,1238.50,88.87,156.98,461.43,34.44,69.18,411.71,281.66,51.25,461.43,130.05,10.00,32.17,178.18,27.99,81.58,23.69,65.05,23.53,24.51,43.29,18.06,10.67,27.91,25.49,32.60,53.54,2080.99
Kesar Enterprise,507180,,INE133B01027,Agricultural Food & other Products,Sugar,5.60,8.96,76.92,468.62,436.93,753.66,16.66,348.03,9.34,468.62,-331.37,1.00,1.72,166.86,74.59,-264.41,467.86,753.49,-357.35,-366.13,-215.08,96.69,323.44,338.49,456.81,462.63,467.31,56.45
Kesar India,543542,,INE0L1C01019,Realty,"Residential, Commercial Projects",1130.00,29.23,95.10,206.44,6.00,4.72,197.21,76.37,0.13,206.44,120.84,10.00,50.38,40.39,21.72,28.21,0.70,1.99,5.11,1.56,,2.32,1.98,,1.02,0.05,,3163.78
Kesar Petroprod.,524174,,INE133C01033,Chemicals & Petrochemicals,Commodity Chemicals,26.48,61.94,146.00,241.84,61.88,90.37,84.81,55.90,0.00,241.84,28.91,1.00,12.75,17.86,55.17,34.89,55.69,78.36,33.35,21.05,13.91,20.76,8.34,7.17,48.82,41.17,42.80,255.97
Kesar Terminals,533289,,INE096L01025,Transport Services,Logistics Solution Provider,73.11,76.60,49.95,149.57,60.86,86.32,85.31,37.55,201.81,149.57,47.76,5.00,0.47,2.69,73.85,-18.89,67.22,89.88,-7.38,-14.83,-11.03,68.11,59.16,22.38,73.35,79.24,29.77,79.88
Kesoram Inds.,502937,KESORAMIND,INE087A01019,Cement & Cement Products,Cement & Cement Products,9.73,199.39,35.51,655.03,501.28,819.03,110.57,164.32,16.55,655.03,-53.75,10.00,2.16,33.04,2270.25,85.60,1728.34,2561.71,-76.32,-1270.53,,1902.00,2237.05,,2004.83,2166.78,2890.07,302.32
Kewal Kir.Cloth.,532732,KKCL,INE401H01017,Textiles & Apparels,Garments & Apparels,539.10,162.72,856.76,1546.64,491.66,569.32,992.95,357.81,0.13,1546.64,635.14,10.00,180.10,103.13,19.70,385.32,117.13,170.00,239.22,256.99,,81.88,88.01,,86.01,82.58,69.57,3322.23
Key Corp,507948,,INE130F01016,Finance,Non Banking Financial Company (NBFC),81.70,0.00,67.24,73.60,0.35,0.90,0.15,0.35,0.00,73.60,-0.20,10.00,0.12,0.05,0.00,-0.04,0.33,0.87,-0.04,0.50,0.31,0.00,0.00,0.02,0.40,0.35,0.36,49.01
Keynote Finan.,512597,KEYFINSERV,INE681C01015,Capital Markets,Stockbroking & Allied,302.00,1.44,143.93,160.91,17.43,22.23,24.22,5.46,5.73,160.91,18.76,10.00,11.71,3.49,0.70,23.82,16.84,20.68,30.82,28.52,29.56,27.71,21.73,20.65,16.21,17.43,17.96,168.11
Keystone Realtor,543669,RUSTOMJEE,INE263M01029,Realty,"Residential, Commercial Projects",504.85,1218.85,2668.16,6998.52,369.78,431.68,5983.01,3473.15,251.63,6998.52,2509.86,10.00,1079.78,778.32,1101.37,1659.55,354.94,404.40,560.16,200.96,,1562.55,2513.90,,33.26,195.44,,6372.75
KFin Technolog.,543720,KFINTECH,INE138Y01010,Capital Markets,"Depositories, Clearing Houses and Other Intermediaries",1021.55,47.40,1290.85,1856.13,836.53,1189.42,969.71,221.39,12.61,1856.13,748.32,10.00,156.63,78.25,48.66,330.42,764.16,1105.91,84.30,37.53,,159.66,413.24,,668.54,691.42,,17617.85
KG Petrochem,531609,,INE902G01016,Textiles & Apparels,Other Textile Products,210.65,85.78,178.26,339.13,134.93,342.40,200.42,144.07,4.87,339.13,56.35,10.00,0.30,37.35,121.03,52.27,144.36,332.42,68.25,41.70,13.70,137.93,143.87,108.39,143.32,156.13,71.45,109.98
Khadim India,540775,KHADIM,INE834I01025,Consumer Durables,Footwear,162.60,255.40,147.60,576.29,156.07,415.70,379.74,278.41,0.73,576.29,101.33,10.00,11.97,137.80,320.58,132.80,243.55,416.11,71.86,61.17,-16.25,242.32,286.57,133.07,201.37,277.09,125.85,298.84
Khaitan (India),590068,KHAITANLTD,INE731C01018,Consumer Durables,Consumer Electronics,99.20,15.39,10.16,73.42,48.88,,21.73,45.83,,73.42,-24.10,10.00,0.68,20.05,,,,,,,,,,,,,,47.13
Khaitan Chemical,507794,KHAICHEM,INE745B01028,Fertilizers & Agrochemicals,Fertilizers,66.00,284.10,256.00,700.13,116.06,188.29,561.14,401.30,95.25,700.13,159.84,1.00,18.50,99.93,315.67,112.60,132.33,182.63,153.92,76.97,25.04,142.12,140.37,225.42,101.59,102.46,113.84,640.12
Khandelwal Extra,519064,,INE687W01010,Agricultural Food & other Products,Other Agricultural Products,116.00,0.00,2.14,3.66,0.55,1.33,2.89,0.64,0.22,3.66,2.25,10.00,2.06,0.06,0.48,1.85,0.59,1.33,1.07,0.59,2.84,1.20,1.20,4.21,0.59,0.95,1.05,9.85
Khandwala Sec.,531892,KHANDSE,INE060B01014,Capital Markets,Stockbroking & Allied,19.45,2.86,13.29,51.64,4.27,5.58,31.11,19.99,0.05,51.64,11.12,10.00,0.47,18.50,1.55,-2.60,8.14,12.95,-1.24,7.39,,6.47,7.74,,7.79,8.20,9.30,29.67
Khazanchi Jewell,543953,,INE0OWC01011,Consumer Durables,"Gems, Jewellery And Watches",775.50,59.56,244.17,380.01,22.47,14.20,356.97,105.29,0.00,380.01,251.68,10.00,8.29,36.06,54.80,186.96,13.19,14.09,69.53,87.36,,84.12,77.86,,12.66,13.16,,1919.11
KHFM Hospitality,,KHFM,INE00UG01014,Commercial Services & Supplies,Diversified Commercial Services,69.40,36.34,38.85,111.54,2.72,8.60,96.29,49.43,30.41,111.54,46.86,10.00,6.42,3.10,46.05,38.05,3.20,7.91,8.19,10.84,11.02,51.09,31.26,18.39,2.09,1.84,2.12,160.12
Khoobsurat Ltd,535730,,INE731G01027,Textiles & Apparels,Other Textile Products,0.57,0.00,33.56,91.07,0.12,1.07,17.79,2.57,0.00,91.07,15.22,1.00,4.13,0.03,3.46,15.64,0.05,0.98,17.42,16.53,24.91,0.00,0.00,0.00,0.05,0.05,0.06,26.80
Khyati Global,544270,,INE0S9501014,Commercial Services & Supplies,Trading & Distributors,44.50,17.32,26.49,62.00,2.15,5.32,55.58,27.36,0.00,62.00,28.22,10.00,2.28,7.66,19.91,7.20,1.72,4.49,5.18,,,16.35,,,2.18,,,31.05
Khyati Multimed.,531692,,INE593B01030,Leisure Services,Hotels & Resorts,2.69,0.00,-9.77,3.24,0.00,0.01,0.27,0.77,0.00,3.24,-0.50,10.00,0.01,0.03,1.09,0.51,0.00,0.01,0.17,0.02,0.01,0.67,0.30,0.61,0.00,0.00,0.01,2.91
KIC Metaliks,513693,,INE434C01027,Ferrous Metals,Iron & Steel,30.85,121.76,165.89,414.88,168.94,267.26,235.03,214.91,0.37,414.88,20.12,2.00,4.17,82.55,129.89,30.69,189.48,266.79,13.53,4.80,-4.74,156.06,112.85,122.52,171.21,105.18,119.90,109.51
Kiduja India,507946,,INE845A01028,Finance,Non Banking Financial Company (NBFC),20.05,97.53,-25.15,75.47,0.00,0.00,0.00,0.69,0.00,75.47,-0.69,1.00,0.00,0.63,140.36,-1.13,0.00,0.00,102.06,-0.15,-37.62,160.16,43.48,78.14,0.00,0.00,0.00,48.12
KIFS Financial,535566,,INE902D01013,Finance,Non Banking Financial Company (NBFC),116.15,236.33,48.38,300.14,0.49,2.89,9.05,4.62,0.00,300.14,4.43,10.00,6.61,0.01,244.94,10.39,1.49,2.88,3.89,-166.55,21.29,253.08,170.00,23.87,1.61,0.11,0.22,125.68
Kilburn Engg.,522101,,INE338F01015,Industrial Manufacturing,Industrial Products,528.00,104.14,510.24,839.31,290.51,332.20,526.77,213.17,2.15,839.31,313.60,10.00,52.35,56.93,85.05,120.21,159.07,189.99,,,,,,,,,,2739.65
Kilitch Drugs,524500,KILITCH,INE729D01010,Pharmaceuticals & Biotechnology,Pharmaceuticals,373.10,83.61,248.18,398.66,63.62,117.93,209.33,82.90,0.76,398.66,126.43,10.00,33.10,41.74,31.65,32.35,61.98,112.39,-2.41,6.00,15.20,20.43,12.61,0.00,64.54,31.53,32.96,652.19
Kimia Bioscien.,530313,,INE285U01025,Pharmaceuticals & Biotechnology,Pharmaceuticals,34.19,36.08,6.85,101.49,33.83,52.24,65.50,71.70,0.12,101.49,-6.20,1.00,0.71,47.87,43.71,-8.03,31.85,47.43,11.21,21.90,-2.54,40.61,34.02,0.64,35.23,17.84,12.90,161.77
Kinetic Engg.,500240,,INE266B01017,Auto Components,Auto Components & Equipments,290.15,72.30,84.99,253.54,60.92,256.84,131.83,79.28,2.35,253.54,52.55,10.00,28.05,46.22,57.92,19.34,63.67,256.09,,,,,,,,,,690.89
Kinetic Trust,531274,,INE674M01019,Finance,Non Banking Financial Company (NBFC),54.48,21.09,0.69,26.85,0.24,0.32,0.76,1.70,0.00,26.85,-0.94,10.00,0.00,0.12,11.01,2.14,0.24,0.32,0.11,0.07,2.83,0.04,0.04,0.04,0.24,0.25,0.25,18.31
Kingfa Science,524019,KINGFA,INE473D01015,Industrial Products,Plastic Products - Industrial,4476.25,18.61,1281.03,1734.61,290.49,373.40,1244.07,423.51,125.15,1734.61,820.56,10.00,389.53,395.53,32.55,323.35,252.07,358.33,141.36,134.52,-7.79,46.06,46.08,75.39,125.54,106.76,88.09,6065.93
Kings Infra,530215,,INE050N01010,Food Products,Seafood,135.00,69.45,54.60,164.26,25.60,28.86,104.09,62.29,0.01,164.26,41.80,10.00,0.24,3.94,37.24,29.49,21.32,22.85,14.67,28.06,21.07,22.56,15.50,19.13,20.79,1.87,1.49,330.85
KIOCL,540680,KIOCL,INE880L01014,Ferrous Metals,Sponge Iron,365.50,184.73,1050.83,2207.57,933.48,1183.37,1030.91,293.38,841.06,2207.57,737.53,10.00,690.23,188.82,179.51,1043.59,894.57,1095.13,1751.59,1798.68,2018.44,125.77,123.81,0.75,277.21,278.94,202.22,22213.26
Kiran Print Pack,531413,,INE516D01011,Printing & Publication,Printing & Publication,28.00,0.00,-2.09,3.36,0.01,0.16,0.48,0.30,0.06,3.36,0.18,10.00,0.08,0.03,0.00,0.22,0.02,0.16,2.51,2.64,2.31,0.00,0.00,0.27,0.10,0.14,0.17,14.01
Kiran Syntex,530443,,INE293D01017,Textiles & Apparels,Other Textile Products,16.98,0.16,-2.24,7.42,0.02,0.34,6.23,5.43,0.00,7.42,0.80,10.00,0.01,5.16,0.01,0.53,0.02,0.34,0.34,-0.16,0.99,0.15,0.14,0.00,0.02,0.02,0.02,7.21
Kiran Vyapar,537750,,INE555P01013,Finance,Non Banking Financial Company (NBFC),200.70,355.67,2210.83,2763.01,2.47,14.52,43.12,9.44,22.84,2763.01,33.68,10.00,12.09,0.11,91.20,61.60,2.16,14.48,64.22,27.00,82.07,36.95,27.70,26.28,39.82,47.02,48.79,547.59
Kiri Industries,532967,KIRIINDUS,INE415I01015,Chemicals & Petrochemicals,Dyes And Pigments,454.90,1223.14,3219.20,5145.74,886.90,1142.36,588.75,405.56,1493.81,5145.74,183.19,10.00,180.01,263.58,121.57,-313.28,437.33,730.07,112.88,157.93,336.95,95.86,152.92,791.33,545.87,511.77,411.75,2730.45
Kirl. Brothers,500241,KIRLOSBROS,INE732A01036,Industrial Products,"Compressors, Pumps & Diesel Engines",1640.55,218.90,2191.60,3778.10,669.30,1643.83,2480.30,1318.70,273.45,3778.10,1161.60,2.00,336.50,571.80,192.33,683.55,634.38,1573.47,331.94,280.12,329.64,396.13,578.08,355.45,532.29,501.37,460.84,13027.43
Kirl. Electric,533193,KECL,INE134B01017,Electrical Equipment,Other Electrical Equipment,98.95,104.41,58.74,608.83,434.06,667.98,149.79,401.05,43.11,608.83,-251.26,10.00,22.99,185.88,126.48,-270.17,438.02,667.34,-320.88,-308.60,-152.40,142.14,187.69,282.72,441.85,321.74,405.38,657.81
Kirl. Ferrous,500245,KIRLFER,INE884B01025,Ferrous Metals,Pig Iron,449.60,1290.39,3537.35,6443.09,3399.92,5731.44,2453.00,2147.07,544.14,6443.09,305.93,5.00,61.99,977.22,1223.51,203.19,3103.09,5200.31,-97.17,-23.32,-48.31,1192.58,311.24,132.73,1160.35,854.11,560.77,7413.37
Kirl.Pneumatic,505283,KIRLPNU,INE811A01020,Industrial Products,"Compressors, Pumps & Diesel Engines",1165.75,0.40,1126.70,1644.40,322.40,476.83,1103.70,470.50,13.41,1644.40,633.20,2.00,59.30,234.50,0.78,319.63,231.93,398.92,222.59,142.62,83.43,1.24,28.31,0.00,229.37,206.65,74.81,7571.79
Kirloskar Indus.,500243,KIRLOSIND,INE250A01039,Industrial Products,Other Industrial Products,3274.90,1295.78,6867.77,12342.66,3600.25,6317.91,2482.57,1297.08,571.01,12342.66,1185.49,10.00,155.75,999.59,1236.09,1028.09,3259.23,5740.50,1091.59,241.65,26.37,1216.32,323.30,132.73,2779.68,896.64,598.82,3441.73
Kirloskar Oil,533293,KIRLOSENG,INE146L01010,Industrial Products,"Compressors, Pumps & Diesel Engines",1311.25,5526.04,3343.97,10672.98,1248.55,2755.04,4580.07,3720.97,120.28,10672.98,859.10,2.00,1008.03,1002.69,4141.84,-284.50,768.79,2298.46,316.03,573.41,,1964.66,188.55,,721.44,622.78,701.93,19057.76
Kisaan Parivar,519230,,INE102C01020,Commercial Services & Supplies,Trading & Distributors,18.55,0.00,3.38,8.79,0.00,0.00,8.79,1.00,0.00,8.79,7.79,5.00,0.10,0.00,0.00,4.93,0.00,0.00,1.63,1.77,1.46,0.00,0.02,0.04,0.00,0.04,0.00,16.33
Kisan Mouldings,530145,,INE017C01012,Industrial Products,Plastic Products - Industrial,28.55,32.90,80.82,289.00,138.16,220.45,110.24,83.21,16.20,289.00,27.03,10.00,0.81,42.27,6.38,25.78,141.36,210.20,-154.15,-9.57,38.94,229.63,178.28,233.81,108.96,126.27,170.50,341.07
Kitex Garments,521248,KITEX,INE602G01020,Textiles & Apparels,Garments & Apparels,191.10,1183.66,1022.29,2741.60,634.70,425.86,610.52,369.44,675.21,2741.60,241.08,1.00,134.16,74.55,681.20,419.55,244.16,425.74,516.50,384.50,122.49,73.07,96.13,161.23,243.08,233.61,171.64,3812.47
Kizi Apparels,544221,,INE0RMR01013,Textiles & Apparels,Garments & Apparels,15.84,6.25,6.32,30.95,1.33,1.90,29.56,16.17,0.00,30.95,13.39,10.00,0.11,6.28,5.15,6.58,1.34,1.84,,,,,,,,,,12.39
KJMC Corporate,532304,,INE602C01011,Finance,Other Financial Services,51.00,5.30,61.64,78.02,3.87,9.64,29.15,3.73,0.00,78.02,25.42,10.00,22.79,1.94,0.65,15.23,3.09,9.02,18.46,13.83,0.86,2.91,1.65,0.46,3.54,2.81,2.95,20.02
KJMC Financial,530235,,INE533C01018,Finance,Non Banking Financial Company (NBFC),50.47,14.27,150.09,187.85,1.24,3.40,2.06,1.06,0.00,187.85,1.00,10.00,0.14,0.00,7.23,1.18,0.70,3.37,2.50,0.30,-0.75,5.65,14.23,2.67,0.85,0.36,1.30,24.17
KK Shah Hospital,544013,,INE0OH401016,Healthcare Services,Hospital,37.99,0.00,6.28,13.82,7.27,9.29,1.94,0.73,0.00,13.82,1.21,10.00,0.79,0.37,0.00,1.53,1.27,1.75,,,,,,,,,,25.87
KKalpana Inds.,526409,,INE301C01028,Chemicals & Petrochemicals,Specialty Chemicals,8.34,1.09,18.53,60.38,31.81,51.22,28.52,20.90,11.79,60.38,7.62,2.00,3.60,1.42,44.16,35.98,42.84,51.79,9.44,157.05,173.23,23.06,101.81,458.73,43.95,247.29,244.25,78.47
Kkalpana Plastic,523652,,INE465K01016,Industrial Products,Plastic Products - Industrial,27.25,0.00,0.79,6.34,0.00,0.02,6.33,0.03,0.00,6.34,6.30,10.00,0.03,0.00,0.00,6.19,0.00,0.02,6.18,5.25,5.91,0.00,0.00,0.00,0.00,0.00,0.00,15.07
KKV Agro Powers,,KKVAPOW,INE239T01016,Consumer Durables,"Gems, Jewellery And Watches",693.00,8.53,25.53,54.67,19.57,33.48,33.82,22.72,0.00,54.67,11.10,10.00,0.62,10.03,13.28,1.18,21.44,33.39,-1.62,2.59,-2.90,6.25,3.87,10.79,25.16,17.46,19.84,43.21
KLG Capital,530771,,INE929C01018,Finance,Non Banking Financial Company (NBFC),20.90,0.45,-6.59,0.80,0.00,0.00,0.72,3.73,0.00,0.80,-3.01,10.00,0.01,0.00,0.23,-2.60,0.00,0.00,-2.68,-3.59,-3.16,1.60,0.73,0.59,0.00,0.00,0.00,6.69
KM Sugar Mills,532673,KMSUGAR,INE157H01023,Agricultural Food & other Products,Sugar,25.52,66.95,343.86,470.42,221.03,488.32,140.71,81.06,78.03,470.42,59.65,2.00,13.10,10.76,291.13,9.48,209.29,474.13,65.18,51.93,3.20,224.16,174.08,145.79,158.66,160.38,94.04,234.79
KMC Speciality,524520,,INE879K01018,Healthcare Services,Hospital,86.86,86.18,165.91,299.58,244.84,309.92,50.00,36.65,80.00,299.58,13.35,1.00,29.76,10.03,81.82,-12.93,205.67,248.97,22.97,5.32,-6.69,28.78,8.62,13.66,75.42,39.41,36.78,1416.69
KMF Builders,531578,,INE580H01026,Realty,"Residential, Commercial Projects",6.00,0.00,5.73,12.28,0.11,0.64,12.12,0.23,0.00,12.28,11.89,5.00,2.18,0.02,0.30,12.72,0.24,0.64,11.78,11.14,9.71,0.48,0.70,0.33,0.34,0.53,0.06,7.31
KMG Milk Food,519415,,INE873N01015,Food Products,Packaged Foods,46.06,5.81,-6.10,9.07,1.70,13.89,7.29,0.59,0.00,9.07,6.70,10.00,0.51,0.42,6.13,6.75,1.89,13.88,2.13,-3.45,-0.68,2.81,2.56,0.00,2.07,2.34,2.86,24.43
KN Agri Resource,,KNAGRI,INE0KNW01016,Agricultural Food & other Products,Edible Oil,168.98,47.95,340.49,442.18,26.14,107.00,377.62,75.66,0.00,442.18,301.96,10.00,6.32,12.20,110.21,263.64,28.79,105.55,200.59,90.28,,16.27,11.37,,30.94,38.74,,422.42
Knowledge Marine,543273,KMEW,INE0CJD01029,Engineering Services,Dredging,1768.90,145.69,228.99,432.23,190.30,186.71,143.39,91.48,0.00,432.23,51.91,5.00,50.09,17.39,60.19,64.33,107.65,123.64,10.76,-4.39,,26.40,16.13,,52.58,27.27,11.36,4323.93
Knowledge Realty,544481,KRT,INE1JAR25012,Realty,Real Estate Investment Trusts (REITs),127.00,2992.19,1112.80,48463.68,0.00,24161.31,423.54,159.05,2700.39,48463.68,264.49,100.00,152.73,7.00,19766.23,-1588.72,20449.22,23888.95,,,,,,,,,,56316.87
KNR Construct.,532942,KNRCON,INE634I01029,Construction,Civil Construction,145.30,2320.62,4706.31,7693.65,445.08,2257.90,3336.52,761.71,496.28,7693.65,2574.81,2.00,197.93,261.32,1262.44,1347.41,806.36,2297.90,624.46,11.46,86.03,1463.54,874.54,733.64,889.90,1274.82,1341.35,4086.37
Kobo Biotech,531541,,INE881A01015,Chemicals & Petrochemicals,Commodity Chemicals,3.04,139.69,-156.74,71.39,33.52,103.68,37.88,167.82,0.00,71.39,-129.94,10.00,0.18,55.78,139.84,-128.14,37.59,103.68,-139.93,-109.80,5.57,260.53,236.36,136.99,56.91,68.42,81.01,7.23
Kody Technolab,,KODYTECH,INE0Q7P01013,IT - Software,Computers - Software & Consulting,790.00,13.06,66.36,111.84,9.92,11.41,49.00,32.67,1.21,111.84,16.33,10.00,4.20,10.01,,,,,,,,,,,,,,1007.06
Kohinoor Foods,512559,KOHINOOR,INE080B01012,Agricultural Food & other Products,Other Agricultural Products,26.27,154.39,-203.80,216.50,151.01,351.68,62.48,304.20,147.06,216.50,-241.72,10.00,1.61,27.12,700.78,-635.36,158.12,352.78,-683.40,-708.89,168.18,710.28,791.19,918.05,165.13,189.89,260.72,97.38
Kokuyo Camlin,523207,KOKUYOCMLN,INE760A01029,Household Products,Stationary,88.16,11.70,311.52,446.03,157.60,282.55,256.94,106.75,64.74,446.03,150.19,1.00,23.35,64.85,80.34,134.71,160.89,268.09,79.90,87.61,106.86,70.48,125.81,72.90,148.94,178.33,158.55,884.27
Kolte Patil Dev.,532924,KOLTEPATIL,INE094I01018,Realty,"Residential, Commercial Projects",358.10,1052.06,1133.61,6444.19,175.29,289.08,5661.20,5187.06,213.42,6444.19,474.14,10.00,423.13,600.51,1116.77,344.57,136.05,244.89,627.59,719.69,1020.76,540.55,746.94,378.49,286.37,294.14,117.54,3175.63
