Name,BSE Code,NSE Code,ISIN Code,Industry Group,Industry,Current Price,Debt,Reserves,Balance sheet total,Net block,Gross block,Current assets,Current liabilities,Contingent liabilities,Total Assets,Working capital,Face value,Cash Equivalents,Trade Payables,Debt preceding year,Working capital preceding year,Net block preceding year,Gross block preceding year,Working capital 3Years back,Working capital 5Years back,Working capital 10Years back,Debt 3Years back,Debt 5Years back,Debt 10Years back,Net block 3Years back,Net block 5Years back,Net block 7Years back,Market Capitalization
Dhenu Buildcon,501945,,INE758D01027,Finance,Non Banking Financial Company (NBFC),8.05,1000.51,1.31,1004.37,201.77,0.00,0.70,0.70,0.00,1004.37,0.00,1.00,0.03,0.70,0.00,-0.03,0.00,0.00,1.17,1.12,2.31,0.00,0.00,0.01,0.00,0.00,0.00,14.74
Dhillon Freight,544556,,INE0SPJ01011,Transport Services,Logistics Solution Provider,36.00,2.40,3.34,10.50,4.90,9.53,5.36,3.41,0.00,10.50,1.95,10.00,3.71,0.04,4.80,0.10,5.91,11.03,0.76,,,4.05,,,3.32,,,14.11
Dhoot Indl.Fin,526971,,INE313G01016,Commercial Services & Supplies,Trading & Distributors,217.00,0.18,470.52,502.42,5.38,11.74,105.83,5.54,0.02,502.42,100.29,10.00,4.25,2.98,63.66,-62.08,5.70,11.51,-68.32,-55.01,23.96,62.51,47.07,24.49,6.42,8.28,9.22,137.10
DHP India,531306,,INE590D01016,Oil,Oil Equipment & Services,545.95,9.04,239.98,256.78,27.59,51.06,229.17,13.80,1.22,256.78,215.37,10.00,0.22,1.86,5.13,27.54,26.35,46.08,45.99,17.33,9.53,0.28,2.00,3.75,18.12,10.42,11.85,163.79
Dhruv Consultanc,541302,DHRUV,INE506Z01015,Commercial Services & Supplies,Consulting Services,35.19,23.60,87.05,150.04,9.41,27.18,123.79,40.45,25.75,150.04,83.34,10.00,5.55,15.49,20.31,46.38,13.64,25.35,35.29,38.00,6.28,12.02,10.23,4.60,6.72,5.49,6.94,66.74
Dhruva Cap.Serv.,531237,,INE972E01014,Finance,Non Banking Financial Company (NBFC),173.95,5.74,22.04,39.61,1.38,0.54,0.57,3.34,0.00,39.61,-2.77,10.00,0.16,0.03,0.00,0.27,0.00,0.00,-0.19,-0.20,1.79,0.03,0.03,0.22,1.92,1.95,2.03,70.66
Dhunseri Invest.,533336,DHUNINV,INE320L01011,Finance,Non Banking Financial Company (NBFC),953.80,534.71,2704.75,4603.13,608.10,719.87,285.55,54.83,0.58,4603.13,230.72,10.00,159.11,39.62,377.00,333.63,639.17,724.49,201.45,14.85,,115.18,92.08,,76.95,54.83,603.68,581.54
Dhunseri Tea,538902,DTIL,INE341R01014,Agricultural Food & other Products,Tea & Coffee,145.31,237.52,544.04,993.90,687.40,944.77,187.56,228.96,2.43,993.90,-41.40,10.00,16.93,43.60,254.86,-145.39,708.35,945.00,-18.65,81.34,-13.70,111.74,127.67,115.41,625.02,781.92,753.13,152.69
Dhunseri Vent.,523736,DVL,INE477B01010,Diversified,Diversified,269.00,534.69,3194.91,4360.14,591.93,714.47,1094.15,138.80,0.00,4360.14,955.35,10.00,157.90,39.62,376.92,311.98,627.65,712.71,121.45,50.07,-155.77,115.13,92.08,2283.70,74.42,53.94,28.84,942.04
Dhyaani Trade,543516,,INE0K5F01014,Commercial Services & Supplies,Trading & Distributors,9.14,1.61,17.74,56.13,0.11,0.18,47.68,19.76,0.00,56.13,27.92,10.00,0.03,17.81,3.03,1.45,0.07,0.10,2.05,0.04,,0.00,0.81,,0.07,0.00,0.00,15.56
Diamant Infra.,508860,,INE206I01026,Construction,Civil Construction,0.87,7.16,3.96,21.14,1.06,2.13,16.99,7.74,0.83,21.14,9.25,2.00,0.04,0.15,11.14,9.14,1.06,2.13,9.21,16.18,19.60,11.35,13.45,15.10,1.06,1.14,1.62,3.06
Diamines & Chem.,500120,DIAMINESQ,INE591D01014,Chemicals & Petrochemicals,Specialty Chemicals,253.05,9.81,144.43,177.50,64.98,85.64,80.70,19.79,3.41,177.50,60.91,10.00,34.84,7.14,0.00,64.78,65.38,84.00,47.64,,3.92,0.00,,20.10,37.55,,,247.58
Diamond Power,522163,DIACABS,INE989C01038,Electrical Equipment,Other Electrical Equipment,135.80,609.77,-767.24,2047.56,1185.66,1714.07,726.73,289.86,1.20,2047.56,436.87,1.00,31.43,106.41,455.96,65.32,1057.42,1583.63,,,714.13,,,2017.71,,,,7156.26
Diana Tea Co,530959,,INE012E01035,Agricultural Food & other Products,Tea & Coffee,27.63,42.84,63.34,127.03,75.09,89.05,44.35,46.32,1.35,127.03,-1.97,5.00,0.17,6.08,31.98,-1.76,71.07,83.39,4.50,-0.33,19.28,20.04,23.10,9.09,66.84,64.40,58.13,41.44
DIC India,500089,DICIND,INE303A01010,Chemicals & Petrochemicals,Printing Inks,515.00,4.15,409.05,612.55,136.29,244.68,452.79,188.01,10.28,612.55,264.78,10.00,42.34,138.97,19.68,218.08,143.31,245.25,283.78,204.64,171.77,5.45,35.14,35.18,76.20,59.39,53.78,472.72
Diensten Tech,,DTL,INE0JRD01019,Commercial Services & Supplies,Diversified Commercial Services,128.00,32.60,10.76,58.44,24.64,27.51,28.19,15.37,0.03,58.44,12.82,10.00,10.81,3.54,27.69,-2.96,16.51,17.18,0.42,,,0.00,,,0.00,,,105.74
Diffusion Eng,544264,DIFFNKG,INE184O01015,Industrial Products,Other Industrial Products,266.80,22.07,348.22,465.79,99.40,122.32,305.15,73.39,0.45,465.79,231.76,10.00,115.49,26.89,34.44,69.76,91.00,110.50,42.62,30.58,,24.60,32.21,,60.28,61.54,,998.55
